frame_nr,latency [ms]
0.0,47.61
1.0,0.17500000000000002
2.0,46.345
3.0,47.604
4.0,47.546
5.0,46.372
6.0,47.603
7.0,0.17300000000000001
8.0,0.161
9.0,47.639
10.0,47.541000000000004
11.0,47.597
12.0,47.616
13.0,47.606
14.0,47.593
15.0,46.306000000000004
16.0,47.609
17.0,47.641
18.0,47.555
19.0,47.598
20.0,47.586
21.0,47.511
22.0,46.325
23.0,47.639
24.0,47.526
25.0,47.598
26.0,47.548
27.0,47.564
28.0,46.326
29.0,47.59
30.0,47.660000000000004
31.0,47.591
32.0,46.281
33.0,47.558
34.0,47.589
35.0,46.349000000000004
36.0,47.551
37.0,47.621
38.0,47.538000000000004
39.0,46.356
40.0,47.573
41.0,47.631
42.0,46.335
43.0,47.649
44.0,47.582
45.0,46.356
46.0,47.577
47.0,47.592
48.0,47.631
49.0,46.282000000000004
50.0,47.547000000000004
51.0,47.584
52.0,46.336
53.0,47.609
54.0,47.605000000000004
55.0,46.346000000000004
56.0,47.636
57.0,47.587
58.0,47.568
59.0,46.393
60.0,47.557
61.0,47.616
62.0,46.378
63.0,188.63
64.0,234.806
65.0,234.727
66.0,236.044
67.0,236.024
68.0,234.818
69.0,234.785
70.0,236.031
71.0,234.817
72.0,234.809
73.0,236.04
74.0,236.025
75.0,234.818
76.0,236.03
77.0,235.97400000000002
78.0,234.756
79.0,234.796
80.0,236.214
81.0,236.03300000000002
82.0,234.799
83.0,234.798
84.0,188.611
85.0,234.793
86.0,236.059
87.0,234.78
88.0,234.784
89.0,236.062
90.0,236.052
91.0,236.04
92.0,188.623
93.0,234.788
94.0,235.979
95.0,234.76
96.0,234.817
97.0,236.049
98.0,188.605
99.0,234.779
100.0,236.024
101.0,236.012
102.0,234.79
103.0,234.775
104.0,236.032
105.0,234.747
106.0,234.8
107.0,188.631
108.0,234.814
109.0,234.784
110.0,236.102
111.0,234.80700000000002
112.0,234.764
113.0,236.046
114.0,236.046
115.0,234.786
116.0,234.778
117.0,236.00900000000001
118.0,236.019
119.0,234.779
120.0,234.787
121.0,236.022
122.0,188.761
123.0,234.8
124.0,236.038
125.0,234.793
126.0,234.80700000000002
127.0,236.025
128.0,235.99
129.0,234.793
130.0,234.881
131.0,236.01
132.0,234.738
133.0,234.74
134.0,235.99800000000002
135.0,236.043
136.0,234.8
137.0,236.04500000000002
138.0,236.038
139.0,234.78
140.0,234.80100000000002
141.0,236.031
142.0,235.994
143.0,234.778
144.0,236.031
145.0,236.02100000000002
146.0,234.802
147.0,236.028
148.0,236.012
149.0,188.665
150.0,234.711
151.0,236.055
152.0,236.046
153.0,234.827
154.0,234.787
155.0,236.036
156.0,234.768
157.0,236.04
158.0,236.024
159.0,234.785
160.0,234.806
161.0,236.04
162.0,234.809
163.0,234.782
164.0,236.019
165.0,236.022
166.0,234.786
167.0,234.734
168.0,235.99
169.0,234.787
170.0,234.772
171.0,236.02700000000002
172.0,236.023
173.0,234.804
174.0,234.77
175.0,236.028
176.0,234.77700000000002
177.0,236.023
178.0,236.017
179.0,234.782
180.0,234.763
181.0,236.019
182.0,236.02
183.0,234.785
184.0,234.769
185.0,236.011
186.0,234.779
187.0,234.764
188.0,236.052
189.0,234.82
190.0,234.804
191.0,236.05700000000002
192.0,236.048
193.0,234.79500000000002
