frame_nr,latency [ms]
0.0,0.155
1.0,0.159
2.0,0.162
3.0,0.165
4.0,0.16
5.0,0.179
6.0,0.169
7.0,0.159
8.0,0.17
9.0,0.177
10.0,0.163
11.0,0.289
12.0,1.412
14.0,0.17200000000000001
15.0,0.17200000000000001
16.0,1.3960000000000001
17.0,0.153
18.0,0.155
19.0,0.181
20.0,0.158
21.0,0.167
22.0,0.151
23.0,0.198
24.0,0.162
25.0,0.18
26.0,1.421
27.0,0.15
28.0,0.273
29.0,0.147
30.0,0.179
31.0,0.17400000000000002
32.0,0.17300000000000001
33.0,0.153
34.0,0.152
35.0,0.149
36.0,0.158
37.0,0.188
38.0,0.15
39.0,0.14400000000000002
40.0,0.149
41.0,0.17
42.0,0.157
43.0,0.187
44.0,0.187
45.0,0.154
46.0,0.176
47.0,0.17
48.0,0.148
49.0,0.167
50.0,0.153
51.0,0.182
52.0,0.17400000000000002
53.0,0.157
54.0,0.179
55.0,0.196
56.0,1.41
57.0,0.168
58.0,0.163
59.0,0.148
60.0,0.167
61.0,0.156
62.0,0.152
63.0,0.155
64.0,0.164
65.0,0.15
66.0,0.156
67.0,0.163
68.0,0.151
69.0,0.163
70.0,0.156
71.0,0.155
72.0,0.161
73.0,0.155
74.0,0.178
75.0,0.178
76.0,1.436
77.0,0.17300000000000001
78.0,0.149
79.0,0.171
80.0,0.153
81.0,0.166
82.0,0.164
83.0,0.17300000000000001
84.0,0.167
85.0,0.17500000000000002
86.0,0.162
87.0,0.177
88.0,0.149
89.0,1.3940000000000001
90.0,1.397
91.0,0.17400000000000002
92.0,0.179
93.0,0.18
95.0,0.178
96.0,0.271
97.0,0.177
98.0,0.177
99.0,0.156
100.0,0.17400000000000002
101.0,0.178
102.0,0.164
103.0,0.17400000000000002
104.0,0.177
105.0,0.176
106.0,0.17500000000000002
107.0,1.403
108.0,0.171
109.0,0.17500000000000002
110.0,0.166
111.0,0.176
112.0,0.177
113.0,1.4000000000000001
114.0,0.17300000000000001
115.0,0.181
116.0,0.176
117.0,0.18
118.0,0.148
119.0,0.171
120.0,0.169
121.0,0.152
122.0,0.17500000000000002
123.0,0.165
124.0,0.177
125.0,0.177
126.0,0.176
127.0,0.179
128.0,0.15
129.0,0.152
130.0,0.151
131.0,0.181
132.0,0.148
133.0,0.14300000000000002
134.0,0.17300000000000001
135.0,0.154
136.0,0.181
137.0,1.415
138.0,0.177
139.0,0.15
141.0,0.156
142.0,0.164
143.0,0.153
144.0,1.389
145.0,0.155
146.0,0.154
147.0,1.3860000000000001
148.0,0.156
149.0,0.148
150.0,0.14200000000000002
151.0,0.149
152.0,0.32
153.0,0.156
154.0,0.145
155.0,0.15
157.0,1.401
158.0,0.157
159.0,0.148
