frame_nr,latency [ms]
0.0,0.165
1.0,0.161
2.0,0.17500000000000002
3.0,0.156
4.0,0.177
5.0,0.166
6.0,0.171
7.0,0.17200000000000001
8.0,0.145
9.0,0.149
10.0,0.164
11.0,0.156
12.0,1.407
14.0,0.19
15.0,0.14400000000000002
16.0,1.356
17.0,0.151
18.0,0.171
19.0,0.17200000000000001
20.0,0.177
21.0,0.178
22.0,0.171
23.0,0.152
24.0,0.179
25.0,0.157
26.0,1.418
27.0,0.17200000000000001
28.0,0.171
29.0,0.171
30.0,0.177
31.0,0.177
32.0,0.17200000000000001
33.0,0.152
34.0,0.154
35.0,0.158
36.0,0.157
37.0,0.181
38.0,0.158
39.0,0.157
40.0,0.153
41.0,0.154
42.0,0.17300000000000001
43.0,0.17500000000000002
44.0,0.155
45.0,0.154
46.0,0.157
47.0,0.163
48.0,0.149
49.0,0.185
50.0,0.17200000000000001
51.0,0.154
52.0,0.17200000000000001
53.0,0.176
54.0,0.154
55.0,0.163
56.0,1.3840000000000001
57.0,0.167
58.0,0.159
59.0,0.168
60.0,0.176
61.0,0.176
62.0,0.153
63.0,0.177
64.0,0.176
65.0,0.155
66.0,0.185
67.0,0.181
68.0,0.17300000000000001
69.0,0.17500000000000002
70.0,0.156
71.0,0.157
72.0,0.156
73.0,0.155
74.0,0.163
75.0,0.156
76.0,1.3900000000000001
77.0,0.149
78.0,0.17200000000000001
79.0,0.14300000000000002
80.0,0.17400000000000002
81.0,0.179
82.0,0.154
83.0,0.17300000000000001
84.0,0.164
85.0,0.251
86.0,0.177
87.0,0.177
88.0,0.17400000000000002
89.0,1.397
90.0,1.368
91.0,0.147
92.0,0.155
93.0,0.176
95.0,0.181
96.0,0.169
97.0,0.179
98.0,0.17400000000000002
99.0,0.168
100.0,0.17400000000000002
101.0,0.18
102.0,0.179
103.0,0.176
104.0,0.187
105.0,0.155
106.0,0.152
107.0,1.381
108.0,0.171
109.0,0.176
110.0,0.179
111.0,0.18
112.0,0.165
113.0,1.385
114.0,0.17400000000000002
115.0,0.163
116.0,0.157
117.0,0.18
118.0,0.145
119.0,0.179
120.0,0.148
121.0,0.155
122.0,0.176
123.0,0.169
124.0,0.151
125.0,0.153
126.0,0.203
127.0,0.155
128.0,0.145
129.0,0.146
130.0,0.148
131.0,0.15
132.0,0.171
133.0,0.149
134.0,0.17200000000000001
135.0,0.17500000000000002
136.0,0.154
137.0,1.418
138.0,0.316
139.0,0.147
141.0,0.158
142.0,0.14400000000000002
143.0,0.147
144.0,1.4000000000000001
145.0,0.155
146.0,0.155
147.0,1.411
148.0,0.21
149.0,0.156
150.0,0.17
151.0,0.176
152.0,0.156
153.0,0.157
154.0,0.149
155.0,0.149
157.0,1.4020000000000001
158.0,0.202
159.0,0.171
160.0,0.17300000000000001
161.0,0.152
162.0,0.161
163.0,0.177
164.0,1.377
165.0,0.155
166.0,0.149
167.0,0.16
168.0,0.177
169.0,0.191
170.0,0.159
171.0,0.152
172.0,0.153
173.0,0.179
174.0,0.167
175.0,0.159
176.0,0.17400000000000002
177.0,1.359
178.0,0.159
179.0,0.193
180.0,0.154
181.0,0.158
182.0,0.169
