frame_nr,latency [ms]
0.0,47.735
1.0,0.314
2.0,46.459
3.0,47.71
4.0,47.719
5.0,46.487
6.0,47.687
7.0,0.303
8.0,0.311
9.0,47.74
10.0,47.689
11.0,47.708
12.0,47.661
13.0,47.664
14.0,47.721000000000004
15.0,46.475
16.0,47.688
17.0,47.735
18.0,47.705
19.0,47.722
20.0,47.717
21.0,47.671
22.0,46.447
23.0,47.72
24.0,47.733000000000004
25.0,47.728
26.0,47.687
27.0,47.688
28.0,46.449
29.0,47.652
30.0,47.742000000000004
31.0,47.709
32.0,46.463
33.0,47.68
34.0,47.735
35.0,46.462
36.0,47.699
37.0,47.728
38.0,47.653
39.0,46.495
40.0,47.72
41.0,47.716
42.0,46.473
43.0,47.686
44.0,47.72
45.0,46.478
46.0,47.692
47.0,47.677
48.0,47.685
49.0,46.46
50.0,47.739000000000004
51.0,47.722
52.0,46.694
53.0,47.721000000000004
54.0,47.738
55.0,46.479
56.0,47.663000000000004
57.0,47.718
58.0,47.730000000000004
59.0,46.443
60.0,47.656
61.0,47.656
62.0,46.478
63.0,0.303
64.0,0.296
65.0,46.49
66.0,47.743
67.0,47.741
68.0,47.711
69.0,46.477000000000004
70.0,47.686
71.0,47.71
72.0,46.466
73.0,47.675000000000004
74.0,47.663000000000004
75.0,47.668
76.0,47.72
77.0,47.721000000000004
78.0,47.722
79.0,46.459
80.0,47.688
81.0,47.74
82.0,47.738
83.0,46.488
84.0,47.753
85.0,0.295
86.0,47.672000000000004
87.0,47.827
88.0,46.475
89.0,47.763
90.0,47.75
91.0,47.741
92.0,47.711
93.0,0.306
94.0,47.759
95.0,47.665
96.0,46.468
97.0,47.707
98.0,47.715
99.0,0.293
100.0,47.667
101.0,47.683
102.0,47.692
103.0,46.480000000000004
104.0,47.776
105.0,47.794000000000004
106.0,46.472
107.0,47.755
108.0,0.336
109.0,46.484
110.0,47.701
111.0,47.687
112.0,46.501
113.0,47.708
114.0,47.71
115.0,47.69
116.0,46.558
117.0,47.761
118.0,47.673
119.0,47.734
120.0,46.501
121.0,47.752
122.0,47.709
123.0,0.321
124.0,47.735
125.0,47.733000000000004
126.0,46.507
127.0,47.732
128.0,47.706
129.0,47.684
130.0,46.45
131.0,47.765
132.0,47.729
133.0,46.459
134.0,47.713
135.0,47.71
136.0,47.721000000000004
137.0,47.727000000000004
138.0,47.727000000000004
139.0,47.713
140.0,46.487
141.0,47.7
142.0,47.727000000000004
143.0,47.683
144.0,47.737
145.0,47.742000000000004
146.0,47.691
147.0,47.76
148.0,47.699
149.0,47.737
150.0,0.323
151.0,47.748
152.0,47.752
153.0,47.716
154.0,46.458
155.0,47.685
156.0,47.669000000000004
157.0,47.723
158.0,47.717
159.0,47.722
160.0,46.423
161.0,47.756
162.0,47.701
163.0,46.468
164.0,47.736000000000004
165.0,47.79
166.0,47.752
167.0,46.475
168.0,47.843
169.0,47.713
170.0,46.467
171.0,47.747
172.0,47.785000000000004
173.0,47.702
174.0,46.485
175.0,47.753
176.0,47.713
177.0,47.735
178.0,47.723
179.0,47.737
180.0,46.503
181.0,47.733000000000004
182.0,47.703
183.0,47.72
184.0,46.482
185.0,47.754
186.0,47.686
187.0,46.502
188.0,47.746
189.0,47.72
190.0,46.488
191.0,47.753
192.0,47.749
193.0,47.745
194.0,46.489000000000004
195.0,47.687
196.0,47.689
197.0,47.681000000000004
198.0,46.509
199.0,47.694
200.0,0.315
201.0,47.761
202.0,47.742000000000004
203.0,47.76
204.0,46.537
205.0,47.837
206.0,47.702
207.0,46.482
208.0,0.337
209.0,47.719
210.0,47.702
211.0,46.504
212.0,47.778
213.0,47.673
214.0,46.507
215.0,47.734
216.0,47.744
217.0,46.499
218.0,47.751
219.0,47.753
220.0,47.75
221.0,46.514
222.0,47.71
223.0,47.728
224.0,47.662
225.0,46.498
226.0,47.745
227.0,46.526
228.0,47.738
229.0,47.736000000000004
230.0,47.713
231.0,46.49
232.0,47.749
233.0,47.719
234.0,47.742000000000004
235.0,46.455
236.0,47.748
237.0,47.673
238.0,47.759
239.0,47.719
240.0,47.71
241.0,46.522
242.0,47.729
243.0,47.742000000000004
244.0,47.746
245.0,46.509
246.0,47.729
247.0,47.733000000000004
248.0,46.466
249.0,47.673
250.0,47.685
251.0,46.485
252.0,47.768
253.0,0.331
254.0,47.683
255.0,47.758
256.0,47.748
257.0,47.742000000000004
258.0,46.548
259.0,47.755
260.0,47.892
261.0,46.479
262.0,47.703
263.0,47.696
264.0,47.682
265.0,46.46
266.0,47.749
267.0,47.725
268.0,46.49
269.0,47.724000000000004
270.0,47.688
271.0,47.716
272.0,47.725
273.0,47.812
274.0,47.705
275.0,46.453
276.0,47.67
277.0,47.678000000000004
278.0,46.514
279.0,47.767
280.0,47.683
281.0,46.491
282.0,46.47
283.0,47.74
284.0,47.682
285.0,46.507
286.0,47.721000000000004
287.0,47.701
288.0,47.756
289.0,46.45
290.0,47.689
291.0,47.683
292.0,46.505
293.0,47.658
294.0,47.719
295.0,46.463
296.0,47.711
297.0,47.698
298.0,46.512
299.0,47.745
300.0,47.725
301.0,47.731
302.0,47.721000000000004
303.0,46.469
304.0,47.695
305.0,46.515
306.0,47.709
307.0,47.685
308.0,46.473
309.0,47.74
310.0,47.698
311.0,47.737
312.0,46.53
313.0,47.727000000000004
314.0,47.703
315.0,47.733000000000004
316.0,46.461
317.0,47.683
318.0,47.647
319.0,46.483000000000004
320.0,48.073
321.0,47.654
322.0,46.493
323.0,47.673
324.0,47.779
325.0,47.712
326.0,46.51
327.0,47.743
328.0,47.727000000000004
329.0,46.475
330.0,47.682
331.0,47.681000000000004
332.0,46.474000000000004
333.0,47.698
334.0,47.685
335.0,47.681000000000004
336.0,46.467
337.0,47.722
338.0,47.706
339.0,46.543
340.0,47.749
341.0,47.817
342.0,46.491
343.0,47.726
344.0,47.713
345.0,47.729
346.0,46.478
347.0,47.683
348.0,47.654
349.0,47.668
350.0,47.741
351.0,47.733000000000004
352.0,46.466
353.0,47.727000000000004
354.0,47.735
355.0,47.71
356.0,46.466
357.0,47.709
358.0,47.657000000000004
359.0,46.454
360.0,47.661
361.0,47.717
362.0,47.671
363.0,47.730000000000004
364.0,47.715
365.0,46.458
366.0,47.705
367.0,47.712
368.0,47.707
369.0,47.743
370.0,46.448
371.0,47.703
372.0,47.682
373.0,46.498
374.0,47.703
375.0,47.660000000000004
376.0,46.478
377.0,47.746
378.0,47.717
379.0,46.533
380.0,47.745
381.0,47.722
382.0,47.703
383.0,46.452
384.0,47.726
385.0,47.665
386.0,47.706
387.0,47.654
388.0,47.658
389.0,46.452
390.0,47.704
391.0,47.715
392.0,47.708
393.0,46.518
394.0,46.453
395.0,47.731
396.0,47.737
397.0,46.452
398.0,47.662
399.0,47.699
400.0,47.675000000000004
401.0,47.702
402.0,47.835
403.0,46.457
404.0,47.777
405.0,47.715
406.0,47.692
407.0,46.513
408.0,47.722
409.0,47.718
410.0,46.480000000000004
411.0,47.668
412.0,47.716
413.0,46.473
414.0,47.69
415.0,47.693
416.0,47.708
417.0,46.471000000000004
418.0,47.717
419.0,47.745
420.0,46.53
421.0,47.754
422.0,47.759
423.0,47.689
424.0,46.483000000000004
425.0,47.692
426.0,47.705
427.0,46.471000000000004
428.0,47.662
429.0,47.652
430.0,46.515
431.0,47.747
432.0,47.709
433.0,47.684
434.0,46.473
435.0,47.739000000000004
436.0,47.74
437.0,46.493
438.0,47.672000000000004
439.0,47.739000000000004
440.0,46.480000000000004
441.0,47.728
442.0,47.72
443.0,47.677
444.0,46.469
445.0,47.741
446.0,47.743
447.0,46.487
448.0,47.753
449.0,47.773
450.0,47.716
451.0,47.723
452.0,48.009
453.0,47.729
454.0,46.641
455.0,47.693
456.0,47.744
457.0,46.469
458.0,47.749
459.0,47.768
460.0,46.533
461.0,47.730000000000004
462.0,47.769
463.0,47.697
464.0,46.473
465.0,47.697
466.0,47.728
467.0,46.493
468.0,47.711
469.0,47.69
470.0,46.496
471.0,46.471000000000004
472.0,47.743
473.0,47.698
474.0,46.473
475.0,47.726
476.0,47.721000000000004
477.0,47.666000000000004
478.0,46.422000000000004
479.0,47.708
480.0,46.524
481.0,47.71
482.0,47.701
483.0,47.696
484.0,47.647
485.0,46.475
486.0,47.742000000000004
487.0,47.736000000000004
488.0,46.464
489.0,47.731
490.0,46.474000000000004
491.0,47.788000000000004
492.0,47.735
493.0,47.728
494.0,46.471000000000004
495.0,46.478
496.0,47.68
497.0,47.679
498.0,0.305
499.0,47.765
500.0,47.71
501.0,46.473
502.0,47.694
503.0,47.757
504.0,46.483000000000004
505.0,47.702
506.0,47.71
507.0,47.726
508.0,46.474000000000004
509.0,47.685
510.0,47.713
511.0,46.441
512.0,47.767
513.0,47.76
514.0,47.736000000000004
515.0,47.733000000000004
516.0,47.716
517.0,47.737
518.0,46.468
519.0,47.737
520.0,47.689
521.0,46.472
522.0,47.688
523.0,47.738
524.0,47.661
525.0,46.468
526.0,86399959.112
