sample,frame_nr,latency [ms]
4.0,0.0,47.7
4.0,1.0,0.292
4.0,2.0,46.467
4.0,3.0,47.71
4.0,4.0,47.727000000000004
4.0,5.0,46.495
4.0,6.0,47.725
4.0,7.0,0.324
4.0,8.0,0.306
4.0,9.0,47.730000000000004
4.0,10.0,47.704
4.0,11.0,47.718
4.0,12.0,47.678000000000004
4.0,13.0,47.734
4.0,14.0,47.727000000000004
4.0,15.0,46.478
4.0,16.0,47.665
4.0,17.0,47.683
4.0,18.0,47.639
4.0,19.0,47.721000000000004
4.0,20.0,47.709
4.0,21.0,47.715
4.0,22.0,46.461
4.0,23.0,47.647
4.0,24.0,47.657000000000004
4.0,25.0,47.734
4.0,26.0,47.826
4.0,27.0,47.728
4.0,28.0,46.492000000000004
4.0,29.0,47.662
4.0,30.0,47.718
4.0,31.0,47.726
4.0,32.0,46.492000000000004
4.0,33.0,47.717
4.0,34.0,47.706
4.0,35.0,46.441
4.0,36.0,47.743
4.0,37.0,47.732
4.0,38.0,47.722
4.0,39.0,46.468
4.0,40.0,47.719
4.0,41.0,47.655
4.0,42.0,46.471000000000004
4.0,43.0,47.709
4.0,44.0,47.72
4.0,45.0,46.502
4.0,46.0,47.655
4.0,47.0,47.729
4.0,48.0,47.761
4.0,49.0,46.497
4.0,50.0,47.732
4.0,51.0,47.717
4.0,52.0,46.409
4.0,53.0,47.882
4.0,54.0,47.709
4.0,55.0,46.475
4.0,56.0,47.72
4.0,57.0,47.65
4.0,58.0,47.637
4.0,59.0,46.464
4.0,60.0,47.711
4.0,61.0,47.706
4.0,62.0,46.473
4.0,63.0,0.304
4.0,64.0,0.294
4.0,65.0,46.471000000000004
4.0,66.0,47.713
4.0,67.0,47.707
4.0,68.0,47.724000000000004
4.0,69.0,46.404
4.0,70.0,47.705
4.0,71.0,47.708
4.0,72.0,46.481
4.0,73.0,47.728
4.0,74.0,47.664
4.0,75.0,47.734
4.0,76.0,47.728
4.0,77.0,47.728
4.0,78.0,47.718
4.0,79.0,46.495
4.0,80.0,47.702
4.0,81.0,47.721000000000004
4.0,82.0,47.725
4.0,83.0,46.488
4.0,84.0,47.751
4.0,85.0,0.333
4.0,86.0,47.734
4.0,87.0,47.716
4.0,88.0,46.46
4.0,89.0,47.725
4.0,90.0,47.722
4.0,91.0,47.662
4.0,92.0,47.729
4.0,93.0,0.309
4.0,94.0,47.713
4.0,95.0,47.704
4.0,96.0,46.479
4.0,97.0,47.641
4.0,98.0,47.741
4.0,99.0,0.28500000000000003
4.0,100.0,47.735
4.0,101.0,47.75
4.0,102.0,47.701
4.0,103.0,46.412
4.0,104.0,47.714
4.0,105.0,47.704
4.0,106.0,46.501
4.0,107.0,47.738
4.0,108.0,0.327
4.0,109.0,46.493
4.0,110.0,47.762
4.0,111.0,47.703
4.0,112.0,46.478
4.0,113.0,47.737
4.0,114.0,47.673
4.0,115.0,47.721000000000004
4.0,116.0,46.473
4.0,117.0,47.739000000000004
4.0,118.0,47.730000000000004
4.0,119.0,47.666000000000004
4.0,120.0,46.469
4.0,121.0,47.732
4.0,122.0,47.731
4.0,123.0,0.29
4.0,124.0,47.709
4.0,125.0,47.676
4.0,126.0,46.487
4.0,127.0,47.737
4.0,128.0,47.730000000000004
4.0,129.0,47.729
4.0,130.0,46.496
4.0,131.0,47.729
4.0,132.0,47.708
4.0,133.0,46.458
4.0,134.0,47.685
4.0,135.0,47.745
4.0,136.0,47.652
4.0,137.0,47.712
4.0,138.0,47.714
4.0,139.0,47.714
4.0,140.0,46.477000000000004
4.0,141.0,47.730000000000004
4.0,142.0,47.641
4.0,143.0,47.723
4.0,144.0,47.716
4.0,145.0,47.713
4.0,146.0,47.725
4.0,147.0,47.660000000000004
4.0,148.0,47.724000000000004
4.0,149.0,47.742000000000004
4.0,150.0,0.302
4.0,151.0,47.737
4.0,152.0,47.818
4.0,153.0,47.76
4.0,154.0,46.487
4.0,155.0,47.728
4.0,156.0,47.727000000000004
4.0,157.0,47.74
4.0,158.0,47.724000000000004
4.0,159.0,47.667
4.0,160.0,46.426
4.0,161.0,47.71
