frame_nr,n_elements
0,137
1,256
2,261
3,261
4,262
5,262
6,263
7,256
8,256
9,255
10,262
11,264
12,265
13,263
14,263
15,266
16,268
17,262
18,263
19,262
20,264
21,266
22,262
23,264
24,268
25,263
26,259
27,267
28,268
29,267
30,259
31,265
32,266
33,264
34,262
35,267
36,267
37,267
38,262
39,259
40,264
41,267
42,264
43,263
44,265
45,263
46,267
47,265
48,266
49,266
50,265
51,264
52,265
53,264
54,268
55,268
56,266
57,262
58,264
59,261
60,261
61,262
62,262
63,256
64,259
65,263
66,265
67,262
68,261
69,265
70,262
71,264
72,266
73,259
74,268
75,262
76,267
77,259
78,259
79,264
80,260
81,261
82,265
83,262
84,254
85,256
86,263
87,264
88,264
89,264
90,267
91,260
92,259
93,256
94,261
95,263
96,263
97,263
98,260
99,256
100,261
101,260
102,259
103,263
104,266
105,262
106,267
107,262
108,256
109,262
110,260
111,264
112,263
113,261
114,263
115,271
116,261
117,270
118,268
119,266
120,272
121,264
122,266
123,256
124,267
125,264
126,269
127,267
128,259
129,264
130,269
131,265
132,266
133,267
134,262
135,265
136,266
137,268
138,268
139,270
140,269
141,266
142,270
143,266
144,268
145,264
146,266
147,268
148,265
149,265
150,256
151,269
152,267
153,262
154,266
155,267
156,266
157,263
158,264
159,269
160,266
161,265
162,269
163,260
164,259
165,269
166,266
167,262
168,265
169,268
170,264
171,262
172,267
173,267
174,266
175,264
176,265
177,261
178,265
179,268
180,262
181,264
182,268
183,264
184,265
185,270
186,272
187,268
188,264
189,262
190,265
191,268
192,262
193,268
194,264
195,261
196,264
197,266
198,267
199,261
200,256
201,269
202,262
203,264
204,263
205,271
206,265
207,263
208,256
209,263
210,263
211,262
212,265
213,266
214,266
215,265
216,265
217,267
218,266
219,270
220,263
221,264
222,265
223,266
224,261
225,264
226,264
227,264
228,267
229,267
230,264
231,266
232,267
233,268
234,262
235,266
236,268
237,265
238,261
239,263
240,263
241,267
242,271
243,265
244,266
245,267
246,266
247,267
248,262
249,267
250,262
251,262
252,263
253,256
254,263
255,263
256,270
257,267
258,263
259,268
260,268
261,264
262,266
263,266
264,261
265,260
266,265
267,270
268,269
269,269
270,270
271,268
272,264
273,267
274,265
275,269
276,265
277,263
278,265
279,268
280,263
281,269
282,269
283,262
284,265
285,269
286,262
287,268
288,268
289,269
290,266
291,265
292,269
293,264
294,263
295,265
296,269
297,267
298,264
299,270
300,267
301,263
302,271
303,264
304,263
305,263
306,266
307,267
308,264
309,266
310,263
311,260
312,267
313,268
314,264
315,268
316,268
317,263
318,261
319,260
320,265
321,266
322,267
323,261
324,259
325,267
326,273
327,266
328,274
329,269
330,261
331,268
332,268
333,264
334,265
335,267
336,277
337,266
338,268
339,270
340,268
341,262
342,268
343,266
344,268
345,262
346,266
347,262
348,263
349,265
350,268
351,264
352,267
353,271
354,268
355,267
356,270
357,264
358,269
359,261
360,271
361,271
362,263
363,264
364,269
365,270
366,270
367,265
368,267
369,266
370,266
371,264
372,272
373,266
374,264
375,269
376,269
377,268
378,266
379,262
380,265
381,269
382,261
383,266
384,269
385,266
386,269
387,269
388,265
389,264
390,265
391,261
392,266
393,265
394,273
395,266
396,271
397,270
398,268
399,266
400,265
401,269
402,263
403,263
404,268
405,267
406,261
407,260
408,268
409,275
410,267
411,271
412,266
413,263
414,264
415,265
416,268
417,266
418,272
419,266
420,268
421,263
422,267
423,263
424,269
425,266
426,264
427,268
428,266
429,266
430,260
431,264
432,265
433,265
434,261
435,261
436,267
437,266
438,267
439,264
440,269
441,266
442,266
443,266
444,267
445,264
446,263
447,268
448,264
449,270
450,265
451,269
452,268
453,264
454,267
455,267
456,272
457,263
458,263
459,266
460,269
461,270
462,267
463,271
464,262
465,264
466,267
467,265
468,267
469,267
470,265
471,268
472,268
473,273
474,272
475,272
476,267
477,268
478,268
479,260
480,271
481,264
482,264
483,265
484,267
485,260
486,264
487,265
488,264
489,263
490,261
491,269
492,267
493,265
494,262
495,269
496,262
497,261
498,256
499,263
500,266
501,269
502,269
503,269
504,269
505,271
506,273
507,266
508,265
509,263
510,267
511,272
512,269
513,268
514,263
515,265
516,268
517,269
518,260
519,266
520,267
521,267
522,263
523,263
524,264
525,262
526,128
