frame_nr,n_elements
1,247
2,249
3,251
4,252
5,249
6,252
7,251
8,248
9,249
10,253
11,251
12,251
13,253
14,252
15,255
16,257
17,252
18,253
19,253
20,253
21,251
22,250
23,252
24,256
25,248
26,251
27,256
28,256
29,255
30,251
31,252
32,253
33,254
34,252
35,255
36,254
37,256
38,256
39,252
40,255
41,255
42,255
43,252
44,253
45,253
46,257
47,256
48,253
49,254
50,253
51,257
52,251
53,255
54,257
55,257
56,256
57,252
58,253
59,252
60,255
61,253
62,253
63,250
64,250
65,251
66,253
67,250
68,251
69,253
70,253
71,252
72,257
73,251
74,259
75,248
76,255
77,252
78,249
79,255
80,252
81,251
82,253
83,251
84,247
85,252
86,251
87,251
88,251
89,255
90,255
91,249
92,250
93,249
94,250
95,253
96,251
97,253
98,251
99,253
100,251
101,250
102,251
103,248
104,253
105,251
106,254
107,252
108,253
109,251
110,251
111,253
112,254
113,250
114,252
115,259
116,248
117,257
118,256
119,251
120,258
121,253
122,252
123,251
124,254
125,258
126,256
127,256
128,249
129,253
130,253
131,252
132,253
133,255
134,256
135,257
136,254
137,257
138,253
139,257
140,260
141,258
142,262
143,254
144,256
145,255
146,257
147,254
148,254
149,256
150,249
151,257
152,253
153,253
154,255
155,256
156,254
157,252
158,253
159,255
160,254
161,256
162,255
163,252
164,247
165,254
166,258
167,249
168,252
169,257
170,256
171,251
172,256
173,255
174,253
175,251
176,253
177,252
178,256
179,254
180,253
181,254
182,255
183,254
184,253
185,256
186,257
187,253
188,255
189,251
190,255
191,253
192,249
193,254
194,252
195,252
196,253
197,250
198,256
199,253
200,252
201,257
202,252
203,253
204,254
205,259
206,253
207,251
208,251
209,253
210,258
211,250
212,255
213,255
214,253
215,253
216,254
217,253
218,257
219,257
220,253
221,254
222,256
223,252
224,253
225,255
226,252
227,253
228,257
229,255
230,255
231,254
232,257
233,257
234,252
235,253
236,254
237,253
238,255
239,251
240,251
241,253
242,257
243,255
244,253
245,258
246,255
247,253
248,255
249,253
250,253
251,254
252,254
253,251
254,251
255,250
256,255
257,256
258,254
259,256
260,253
261,253
262,254
263,254
264,253
265,251
266,256
267,257
268,258
269,256
270,255
271,257
272,254
273,257
274,255
275,255
276,254
277,254
278,255
279,258
280,254
281,257
282,257
283,255
284,257
285,258
286,257
287,255
288,256
289,257
290,256
291,251
292,257
293,253
294,253
295,253
296,256
297,255
298,254
299,255
300,255
301,254
302,256
303,251
304,257
305,252
306,256
307,257
308,252
309,252
310,253
311,251
312,255
313,257
314,253
315,256
316,256
317,251
318,252
319,254
320,256
321,254
322,256
323,257
324,251
325,254
326,262
327,256
328,256
329,255
330,252
331,257
332,256
333,255
334,258
335,254
336,261
337,260
338,257
339,256
340,254
341,255
342,256
343,255
344,257
345,252
346,255
347,253
348,252
349,257
350,257
351,253
352,255
353,255
354,253
355,254
356,257
357,257
358,255
359,254
360,258
361,258
362,256
363,256
364,256
365,257
366,254
367,256
368,255
369,252
370,251
371,255
372,259
373,255
374,254
375,259
376,257
377,256
378,259
379,250
380,254
381,259
382,257
383,257
384,256
385,256
386,256
387,255
388,254
389,255
390,255
391,253
392,254
393,259
394,259
395,257
396,259
397,259
398,256
399,255
400,258
401,257
402,252
403,256
404,256
405,256
406,254
407,252
408,254
409,260
410,254
411,259
412,255
413,253
414,254
415,251
416,255
417,255
418,257
419,255
420,255
421,255
422,255
423,253
424,256
425,256
426,251
427,255
428,258
429,253
430,258
431,258
432,255
433,257
434,253
435,253
436,251
437,251
438,254
439,256
440,255
441,254
442,255
443,254
444,253
445,257
446,251
447,253
448,255
449,255
450,253
451,259
452,258
453,252
454,256
455,255
456,257
457,250
458,251
459,254
460,253
461,255
462,255
463,258
464,251
465,252
466,254
467,253
468,255
469,253
470,252
471,254
472,255
473,260
474,255
475,260
476,252
477,257
478,254
479,255
480,255
481,255
482,252
483,250
484,253
485,249
486,255
487,253
488,253
489,252
490,250
491,255
492,252
493,253
494,251
495,255
496,251
497,248
498,249
499,248
500,251
501,256
502,257
503,256
504,256
505,259
506,258
507,253
508,252
509,250
510,256
511,259
512,257
513,256
514,254
515,254
516,253
517,253
518,252
519,255
520,253
521,255
522,248
523,250
524,251
525,250
