sample,frame_nr,latency [ms]
64.0,0.0,6.231
64.0,1.0,0.289
64.0,2.0,6.021
64.0,3.0,6.195
64.0,4.0,6.188
64.0,5.0,6.087
64.0,6.0,6.198
64.0,7.0,0.293
64.0,8.0,0.28
64.0,9.0,6.216
64.0,10.0,6.206
64.0,11.0,6.182
64.0,12.0,6.179
64.0,13.0,6.2010000000000005
64.0,14.0,6.171
64.0,15.0,6.013
64.0,16.0,6.22
64.0,17.0,6.199
64.0,18.0,6.195
64.0,19.0,6.212
64.0,20.0,6.19
64.0,21.0,6.1930000000000005
64.0,22.0,5.9510000000000005
64.0,23.0,6.1850000000000005
64.0,24.0,6.192
64.0,25.0,6.191
64.0,26.0,6.2010000000000005
64.0,27.0,6.143
64.0,28.0,6.0200000000000005
64.0,29.0,6.205
64.0,30.0,6.202
64.0,31.0,6.138
64.0,32.0,6.009
64.0,33.0,6.237
64.0,34.0,6.191
64.0,35.0,6.027
64.0,36.0,6.15
64.0,37.0,6.21
64.0,38.0,6.2
64.0,39.0,6.016
64.0,40.0,6.194
64.0,41.0,6.19
64.0,42.0,6.096
64.0,43.0,6.202
64.0,44.0,6.139
64.0,45.0,6.087
64.0,46.0,6.208
64.0,47.0,6.207
64.0,48.0,6.1930000000000005
64.0,49.0,6.073
64.0,50.0,6.2170000000000005
64.0,51.0,6.189
64.0,52.0,6.082
64.0,53.0,6.1530000000000005
64.0,54.0,6.194
64.0,55.0,6.043
64.0,56.0,6.196
64.0,57.0,6.2
64.0,58.0,6.195
64.0,59.0,6.083
64.0,60.0,6.206
64.0,61.0,6.1240000000000006
64.0,62.0,6.077
64.0,63.0,0.301
64.0,64.0,6.202
64.0,65.0,6.018
64.0,66.0,6.144
64.0,67.0,6.205
64.0,68.0,6.1850000000000005
64.0,69.0,6.018
64.0,70.0,6.215
64.0,71.0,6.192
64.0,72.0,6.091
64.0,73.0,6.212
64.0,74.0,6.198
64.0,75.0,6.192
64.0,76.0,6.197
64.0,77.0,6.140000000000001
64.0,78.0,6.2170000000000005
64.0,79.0,6.0680000000000005
64.0,80.0,6.222
64.0,81.0,6.208
64.0,82.0,6.2
64.0,83.0,6.082
64.0,84.0,6.226
64.0,85.0,0.289
64.0,86.0,6.2250000000000005
64.0,87.0,6.212
