frame_nr,n_elements
0,20992.0
1,57904.0
2,57734.4
3,57548.8
4,57824.0
5,57686.4
6,57779.2
7,57641.6
8,57872.0
9,57856.0
10,57750.4
11,57734.4
12,57856.0
13,57856.0
14,57872.0
15,57827.2
16,57904.0
17,57888.0
18,57824.0
19,57824.0
20,57872.0
21,57888.0
22,57872.0
23,57888.0
24,57904.0
25,57872.0
26,57872.0
27,57856.0
28,57840.0
29,57824.0
30,57872.0
31,57904.0
32,57888.0
33,57856.0
34,57840.0
35,57872.0
36,57888.0
37,57904.0
38,57872.0
39,57856.0
40,57872.0
41,57718.4
42,57856.0
43,57795.2
44,57888.0
45,57702.4
46,57872.0
47,57872.0
48,57734.4
49,57734.4
50,57872.0
51,57686.4
52,57856.0
53,57840.0
54,57872.0
55,57872.0
56,57811.2
57,57718.4
58,57718.4
59,57795.2
60,57795.2
61,57734.4
62,57856.0
63,57686.4
64,57840.0
65,57872.0
66,57888.0
67,57888.0
68,57888.0
69,57888.0
70,57888.0
71,57702.4
72,57856.0
73,57609.6
74,57718.4
75,57872.0
76,57702.4
77,57872.0
78,57872.0
79,57657.6
80,57718.4
81,57827.2
82,57750.4
83,57888.0
84,57872.0
85,57808.0
86,57792.0
87,57670.4
88,57625.6
89,57920.0
90,57814.4
91,57859.2
92,57811.2
93,57856.0
94,57625.6
95,57840.0
96,57532.8
97,57856.0
98,57670.4
99,57686.4
100,57904.0
101,57750.4
102,57904.0
103,57657.6
104,57856.0
105,57872.0
106,57702.4
107,57888.0
108,57856.0
109,57840.0
110,57824.0
111,57856.0
112,57888.0
113,57888.0
114,57888.0
115,57904.0
116,57718.4
117,57856.0
118,57872.0
119,57888.0
120,57795.2
121,57888.0
122,57779.2
123,57856.0
124,57718.4
125,57856.0
126,57702.4
127,57718.4
128,57904.0
129,57811.2
130,57564.8
131,57625.6
132,57840.0
133,57686.4
134,57856.0
135,57734.4
136,57888.0
137,57888.0
138,57872.0
139,57872.0
140,57888.0
141,57888.0
142,57872.0
143,57872.0
144,57686.4
145,57840.0
146,57888.0
147,57856.0
148,57779.2
149,57856.0
150,57734.4
151,57750.4
152,57904.0
153,57888.0
154,57856.0
155,57824.0
156,57840.0
157,57779.2
158,57734.4
159,57888.0
160,57734.4
161,57840.0
162,57872.0
163,57872.0
164,57872.0
165,57888.0
166,57856.0
167,57718.4
168,57702.4
169,57856.0
170,57872.0
171,57888.0
172,57872.0
173,57859.2
174,57763.2
175,57872.0
176,57702.4
177,57728.0
178,57750.4
179,57702.4
180,57920.0
181,57920.0
182,57904.0
183,57862.4
184,57760.0
185,57840.0
186,57840.0
187,57686.4
188,57840.0
189,57795.2
190,57750.4
191,57827.2
192,57904.0
193,57795.2
194,57856.0
195,57779.2
196,57811.2
197,57904.0
198,57734.4
199,57840.0
200,57840.0
201,57840.0
202,57840.0
203,57856.0
204,57888.0
205,57904.0
206,57872.0
207,57702.4
208,57872.0
209,57888.0
210,57888.0
211,57750.4
212,57779.2
213,57763.2
214,57824.0
215,57395.2
216,57702.4
217,57888.0
218,57750.4
219,57904.0
220,57734.4
221,57795.2
222,57750.4
223,57718.4
224,57856.0
225,57686.4
226,57856.0
227,57686.4
228,57856.0
229,57856.0
230,57641.6
231,57801.6
232,57683.2
233,57689.6
234,57888.0
235,57856.0
236,57824.0
237,57840.0
238,57856.0
239,57856.0
240,57856.0
241,57872.0
242,57766.4
243,57875.2
244,57872.0
245,57731.2
246,57670.4
247,57872.0
248,57904.0
249,57734.4
250,57548.8
251,57856.0
252,57888.0
253,57856.0
254,57872.0
255,57686.4
256,57872.0
257,57888.0
258,57888.0
259,57872.0
260,57856.0
261,57872.0
262,57702.4
263,57641.6
264,57795.2
265,57718.4
266,57657.6
267,57811.2
268,57718.4
269,57840.0
270,57872.0
271,57872.0
272,57856.0
273,57702.4
274,57872.0
275,57872.0
276,57872.0
277,57856.0
278,57718.4
279,57856.0
280,57872.0
281,57888.0
282,57904.0
283,57872.0
284,57779.2
285,57686.4
286,57702.4
287,57904.0
288,57904.0
289,57750.4
290,57872.0
291,57856.0
292,57686.4
293,57795.2
294,57856.0
295,57856.0
296,57888.0
297,57702.4
298,57872.0
299,57872.0
300,57872.0
301,57904.0
302,57766.4
303,57888.0
304,57840.0
305,57670.4
306,57840.0
307,57840.0
308,57779.2
309,57811.2
310,57657.6
311,57872.0
312,57904.0
313,57872.0
314,57872.0
315,57872.0
316,57888.0
317,57856.0
318,57856.0
319,57840.0
320,57763.2
321,57872.0
322,57904.0
323,57766.4
324,57904.0
325,57872.0
326,57856.0
327,57856.0
328,57840.0
329,57856.0
330,57872.0
331,57888.0
332,57872.0
333,57718.4
334,57779.2
335,57872.0
336,57872.0
337,57872.0
338,57888.0
339,57625.6
340,57840.0
341,57763.2
342,57811.2
343,57750.4
344,57827.2
345,57872.0
346,57856.0
347,57872.0
348,57734.4
349,57734.4
350,57840.0
351,57670.4
352,57763.2
353,57888.0
354,57750.4
355,57904.0
356,57718.4
357,57840.0
358,57702.4
359,57872.0
360,57827.2
361,57856.0
362,57702.4
363,57670.4
364,57856.0
365,57872.0
366,57856.0
367,57888.0
368,57920.0
369,57750.4
370,57888.0
371,57811.2
372,57718.4
373,57824.0
374,57808.0
375,57840.0
376,57734.4
377,57827.2
378,57779.2
379,57795.2
380,57702.4
381,57657.6
382,57795.2
383,57750.4
384,57888.0
385,57827.2
386,57872.0
387,57686.4
388,57654.4
389,57731.2
390,57856.0
391,57811.2
392,57766.4
393,57936.0
394,57952.0
395,57766.4
396,57654.4
397,57577.6
398,57686.4
399,57856.0
400,57702.4
401,57872.0
402,57888.0
403,57625.6
404,57904.0
405,57888.0
406,57888.0
407,57872.0
408,57856.0
409,57840.0
410,57856.0
411,57840.0
412,57856.0
413,57888.0
414,57856.0
415,57888.0
416,57888.0
417,57888.0
418,57795.2
419,57872.0
420,57888.0
421,57795.2
422,57888.0
423,57779.2
424,57718.4
425,57872.0
426,57856.0
427,57779.2
428,57779.2
429,57734.4
430,57718.4
431,57580.8
432,57657.6
433,57702.4
434,57856.0
435,57779.2
436,57718.4
437,57872.0
438,57856.0
439,57686.4
440,57888.0
441,57827.2
442,57888.0
443,57872.0
444,57686.4
445,57686.4
446,57795.2
447,57657.6
448,57750.4
449,57888.0
450,57702.4
451,57856.0
452,57702.4
453,57872.0
454,57888.0
455,57888.0
456,57840.0
457,57824.0
458,57856.0
459,57872.0
460,57811.2
461,57904.0
462,57888.0
463,57888.0
464,57888.0
465,57824.0
466,57840.0
467,57840.0
468,57872.0
469,57888.0
470,57872.0
471,57827.2
472,57888.0
473,57856.0
474,57872.0
475,57795.2
476,57888.0
477,57718.4
478,57872.0
479,57654.4
480,57808.0
481,57840.0
482,57888.0
483,57936.0
484,57952.0
485,57920.0
486,57872.0
487,57856.0
488,57856.0
489,57808.0
490,57792.0
491,57824.0
492,57872.0
493,57904.0
494,57952.0
495,57920.0
496,57888.0
497,57888.0
498,57718.4
499,57872.0
500,57840.0
501,57856.0
502,57686.4
503,57840.0
504,57872.0
505,57872.0
506,57888.0
507,57872.0
508,57888.0
509,57872.0
510,57856.0
511,57840.0
512,57856.0
513,57888.0
514,57872.0
515,57888.0
516,57872.0
517,57856.0
518,57840.0
519,57718.4
520,57795.2
521,57872.0
522,57888.0
523,57888.0
524,57904.0
525,57734.4
526,56320.0
