frame_nr,n_elements
0,20992
1,57904
2,57888
3,57856
4,57824
5,57840
6,57856
7,57872
8,57872
9,57856
10,57904
11,57888
12,57856
13,57856
14,57872
15,57904
16,57904
17,57888
18,57824
19,57824
20,57872
21,57888
22,57872
23,57888
24,57904
25,57872
26,57872
27,57856
28,57840
29,57824
30,57872
31,57904
32,57888
33,57856
34,57840
35,57872
36,57888
37,57904
38,57872
39,57856
40,57872
41,57872
42,57856
43,57872
44,57888
45,57856
46,57872
47,57872
48,57888
49,57888
50,57872
51,57840
52,57856
53,57840
54,57872
55,57872
56,57888
57,57872
58,57872
59,57872
60,57872
61,57888
62,57856
63,57840
64,57840
65,57872
66,57888
67,57888
68,57888
69,57888
70,57888
71,57856
72,57856
73,57840
74,57872
75,57872
76,57856
77,57872
78,57872
79,57888
80,57872
81,57904
82,57904
83,57888
84,57872
85,57808
86,57792
87,57824
88,57856
89,57920
90,57968
91,57936
92,57888
93,57856
94,57856
95,57840
96,57840
97,57856
98,57824
99,57840
100,57904
101,57904
102,57904
103,57888
104,57856
105,57872
106,57856
107,57888
108,57856
109,57840
110,57824
111,57856
112,57888
113,57888
114,57888
115,57904
116,57872
117,57856
118,57872
119,57888
120,57872
121,57888
122,57856
123,57856
124,57872
125,57856
126,57856
127,57872
128,57904
129,57888
130,57872
131,57856
132,57840
133,57840
134,57856
135,57888
136,57888
137,57888
138,57872
139,57872
140,57888
141,57888
142,57872
143,57872
144,57840
145,57840
146,57888
147,57856
148,57856
149,57856
150,57888
151,57904
152,57904
153,57888
154,57856
155,57824
156,57840
157,57856
158,57888
159,57888
160,57888
161,57840
162,57872
163,57872
164,57872
165,57888
166,57856
167,57872
168,57856
169,57856
170,57872
171,57888
172,57872
173,57888
174,57888
175,57872
176,57856
177,57808
178,57824
179,57856
180,57920
181,57920
182,57904
183,57904
184,57872
185,57840
186,57840
187,57840
188,57840
189,57872
190,57904
191,57904
192,57904
193,57872
194,57856
195,57856
196,57888
197,57904
198,57888
199,57840
200,57840
201,57840
202,57840
203,57856
204,57888
205,57904
206,57872
207,57856
208,57872
209,57888
210,57888
211,57904
212,57856
213,57840
214,57824
215,57856
216,57856
217,57888
218,57904
219,57904
220,57888
221,57872
222,57904
223,57872
224,57856
225,57840
226,57856
227,57840
228,57856
229,57856
230,57872
231,57888
232,57904
233,57920
234,57888
235,57856
236,57824
237,57840
238,57856
239,57856
240,57856
241,57872
242,57920
243,57952
244,57872
245,57808
246,57824
247,57872
248,57904
249,57888
250,57856
251,57856
252,57888
253,57856
254,57872
255,57840
256,57872
257,57888
258,57888
259,57872
260,57856
261,57872
262,57856
263,57872
264,57872
265,57872
266,57888
267,57888
268,57872
269,57840
270,57872
271,57872
272,57856
273,57856
274,57872
275,57872
276,57872
277,57856
278,57872
279,57856
280,57872
281,57888
282,57904
283,57872
284,57856
285,57840
286,57856
287,57904
288,57904
289,57904
290,57872
291,57856
292,57840
293,57872
294,57856
295,57856
296,57888
297,57856
298,57872
299,57872
300,57872
301,57904
302,57920
303,57888
304,57840
305,57824
306,57840
307,57840
308,57856
309,57888
310,57888
311,57872
312,57904
313,57872
314,57872
315,57872
316,57888
317,57856
318,57856
319,57840
320,57840
321,57872
322,57904
323,57920
324,57904
325,57872
326,57856
327,57856
328,57840
329,57856
330,57872
331,57888
332,57872
333,57872
334,57856
335,57872
336,57872
337,57872
338,57888
339,57856
340,57840
341,57840
342,57888
343,57904
344,57904
345,57872
346,57856
347,57872
348,57888
349,57888
350,57840
351,57824
352,57840
353,57888
354,57904
355,57904
356,57872
357,57840
358,57856
359,57872
360,57904
361,57856
362,57856
363,57824
364,57856
365,57872
366,57856
367,57888
368,57920
369,57904
370,57888
371,57888
372,57872
373,57824
374,57808
375,57840
376,57888
377,57904
378,57856
379,57872
380,57856
381,57888
382,57872
383,57904
384,57888
385,57904
386,57872
387,57840
388,57808
389,57808
390,57856
391,57888
392,57920
393,57936
394,57952
395,57920
396,57808
397,57808
398,57840
399,57856
400,57856
401,57872
402,57888
403,57856
404,57904
405,57888
406,57888
407,57872
408,57856
409,57840
410,57856
411,57840
412,57856
413,57888
414,57856
415,57888
416,57888
417,57888
418,57872
419,57872
420,57888
421,57872
422,57888
423,57856
424,57872
425,57872
426,57856
427,57856
428,57856
429,57888
430,57872
431,57888
432,57888
433,57856
434,57856
435,57856
436,57872
437,57872
438,57856
439,57840
440,57888
441,57904
442,57888
443,57872
444,57840
445,57840
446,57872
447,57888
448,57904
449,57888
450,57856
451,57856
452,57856
453,57872
454,57888
455,57888
456,57840
457,57824
458,57856
459,57872
460,57888
461,57904
462,57888
463,57888
464,57888
465,57824
466,57840
467,57840
468,57872
469,57888
470,57872
471,57904
472,57888
473,57856
474,57872
475,57872
476,57888
477,57872
478,57872
479,57808
480,57808
481,57840
482,57888
483,57936
484,57952
485,57920
486,57872
487,57856
488,57856
489,57808
490,57792
491,57824
492,57872
493,57904
494,57952
495,57920
496,57888
497,57888
498,57872
499,57872
500,57840
501,57856
502,57840
503,57840
504,57872
505,57872
506,57888
507,57872
508,57888
509,57872
510,57856
511,57840
512,57856
513,57888
514,57872
515,57888
516,57872
517,57856
518,57840
519,57872
520,57872
521,57872
522,57888
523,57888
524,57904
525,57888
526,56320
