frame_nr,n_elements
0,18515
1,55322
2,55319
3,55299
4,55288
5,55278
6,55295
7,55324
8,55327
9,55300
10,55340
11,55332
12,55308
13,55296
14,55316
15,55355
16,55337
17,55344
18,55260
19,55274
20,55314
21,55316
22,55313
23,55332
24,55353
25,55299
26,55322
27,55273
28,55263
29,55254
30,55302
31,55344
32,55325
33,55292
34,55277
35,55307
36,55330
37,55315
38,55310
39,55310
40,55313
41,55288
42,55285
43,55288
44,55311
45,55305
46,55296
47,55301
48,55318
49,55328
50,55310
51,55278
52,55296
53,55289
54,55281
55,55304
56,55308
57,55315
58,55305
59,55284
60,55316
61,55318
62,55296
63,55269
64,55277
65,55293
66,55316
67,55314
68,55313
69,55311
70,55317
71,55284
72,55299
73,55291
74,55308
75,55313
76,55288
77,55310
78,55320
79,55342
80,55339
81,55328
82,55355
83,55338
84,55320
85,55241
86,55230
87,55262
88,55292
89,55347
90,55412
91,55356
92,55313
93,55292
94,55296
95,55264
96,55251
97,55305
98,55255
99,55278
100,55335
101,55329
102,55348
103,55319
104,55286
105,55313
106,55292
107,55310
108,55276
109,55281
110,55262
111,55277
112,55313
113,55336
114,55314
115,55339
116,55290
117,55288
118,55295
119,55292
120,55287
121,55299
122,55285
123,55260
124,55292
125,55287
126,55276
127,55324
128,55324
129,55308
130,55312
131,55296
132,55227
133,55234
134,55258
135,55280
136,55302
137,55278
138,55279
139,55283
140,55296
141,55307
142,55295
143,55289
144,55309
145,55285
146,55340
147,55321
148,55317
149,55293
150,55334
151,55346
152,55336
153,55348
154,55288
155,55278
156,55296
157,55325
158,55337
159,55356
160,55352
161,55286
162,55345
163,55330
164,55327
165,55354
166,55309
167,55325
168,55320
169,55325
170,55331
171,55350
172,55333
173,55331
174,55351
175,55320
176,55310
177,55267
178,55274
179,55325
180,55361
181,55395
182,55361
183,55368
184,55332
185,55311
186,55281
187,55290
188,55307
189,55338
190,55362
191,55335
192,55337
193,55342
194,55326
195,55324
196,55335
197,55361
198,55341
199,55306
200,55293
201,55325
202,55328
203,55316
204,55363
205,55351
206,55316
207,55313
208,55314
209,55361
210,55343
211,55372
212,55304
213,55293
214,55271
215,55318
216,55303
217,55329
218,55346
219,55364
220,55357
221,55319
222,55372
223,55333
224,55309
225,55283
226,55310
227,55312
228,55318
229,55309
230,55325
231,55332
232,55348
233,55383
234,55330
235,55306
236,55246
237,55296
238,55312
239,55313
240,55303
241,55326
242,55361
243,55393
244,55323
245,55260
246,55284
247,55319
248,55363
249,55353
250,55315
251,55306
252,55325
253,55296
254,55343
255,55295
256,55332
257,55349
258,55341
259,55344
260,55313
261,55341
262,55327
263,55323
264,55311
265,55331
266,55353
267,55320
268,55294
269,55264
270,55285
271,55305
272,55262
273,55291
274,55287
275,55281
276,55266
277,55303
278,55327
279,55287
280,55311
281,55315
282,55340
283,55332
284,55299
285,55275
286,55292
287,55345
288,55318
289,55301
290,55287
291,55271
292,55247
293,55271
294,55279
295,55269
296,55309
297,55268
298,55287
299,55283
300,55296
301,55338
302,55383
303,55333
304,55299
305,55267
306,55220
307,55271
308,55254
309,55295
310,55311
311,55291
312,55305
313,55276
314,55273
315,55301
316,55308
317,55265
318,55275
319,55280
320,55255
321,55258
322,55306
323,55340
324,55314
325,55284
326,55284
327,55276
328,55271
329,55289
330,55279
331,55326
332,55300
333,55276
334,55265
335,55246
336,55288
337,55283
338,55248
339,55248
340,55245
341,55256
342,55299
343,55325
344,55312
345,55293
346,55270
347,55283
348,55316
349,55306
350,55269
351,55220
352,55261
353,55317
354,55308
355,55333
356,55280
357,55243
358,55271
359,55269
360,55304
361,55264
362,55276
363,55211
364,55291
365,55319
366,55256
367,55313
368,55319
369,55326
370,55307
371,55272
372,55283
373,55244
374,55226
375,53320
376,55286
377,55292
378,55259
379,55270
380,55247
381,55296
382,55284
383,55303
384,55293
385,55308
386,55275
387,55260
388,55210
389,55211
390,55255
391,55296
392,55339
393,55358
394,55348
395,55316
396,55128
397,55236
398,55250
399,55265
400,55278
401,55319
402,55320
403,55270
404,55325
405,55294
406,55269
407,55264
408,55245
409,55235
410,55272
411,55250
412,55270
413,55294
414,55272
415,55291
416,55303
417,55295
418,55304
419,55279
420,55317
421,55292
422,55329
423,55239
424,55285
425,55288
426,55256
427,55281
428,55255
429,55288
430,55264
431,55286
432,55289
433,55257
434,55256
435,55236
436,55284
437,55282
438,55270
439,55222
440,55307
441,55296
442,55292
443,55282
444,55243
445,55233
446,55260
447,55279
448,55316
449,55277
450,55242
451,55270
452,55247
453,55250
454,55296
455,55294
456,55221
457,55192
458,55226
459,55270
460,55273
461,55288
462,55269
463,55264
464,55280
465,55207
466,55210
467,55213
468,55277
469,55279
470,55269
471,55287
472,55282
473,55244
474,55262
475,55276
476,55270
477,55300
478,55260
479,55241
480,55209
481,55223
482,55303
483,55358
484,55393
485,55341
486,55308
487,55311
488,55291
489,55240
490,55227
491,55270
492,55322
493,55354
494,55401
495,55340
496,55300
497,55317
498,55296
499,55305
500,55249
501,55293
502,55286
503,55292
504,55296
505,55313
506,55307
507,55308
508,55321
509,55310
510,55302
511,55281
512,55287
513,55325
514,55281
515,55296
516,55255
517,55252
518,55246
519,55308
520,55308
521,55286
522,55317
523,55314
524,55325
525,55321
526,53760
