frame_nr,latency [ms]
0.0,0.19
1.0,0.313
2.0,0.324
3.0,0.316
4.0,0.314
5.0,0.309
6.0,0.304
7.0,0.313
8.0,0.316
9.0,0.309
10.0,0.314
11.0,0.484
12.0,1.591
13.0,0.309
14.0,0.301
15.0,0.31
16.0,1.524
17.0,0.302
18.0,0.216
19.0,0.513
20.0,0.306
21.0,0.319
22.0,0.312
23.0,0.289
24.0,0.316
25.0,0.321
26.0,1.574
27.0,0.313
28.0,0.214
29.0,0.209
30.0,0.317
31.0,0.319
32.0,0.297
33.0,0.302
34.0,0.302
35.0,0.281
36.0,0.304
37.0,0.309
38.0,0.279
39.0,0.272
40.0,0.28800000000000003
41.0,0.275
42.0,0.301
43.0,0.303
44.0,0.28300000000000003
45.0,0.303
46.0,0.304
47.0,0.273
48.0,0.307
49.0,0.29
50.0,0.307
51.0,0.279
52.0,0.28
53.0,0.29
54.0,0.294
55.0,0.28400000000000003
56.0,1.54
57.0,0.304
58.0,0.31
59.0,0.3
60.0,0.299
61.0,0.281
62.0,0.28200000000000003
63.0,0.304
64.0,0.303
65.0,0.28300000000000003
66.0,0.306
67.0,0.28600000000000003
68.0,0.277
69.0,0.299
70.0,0.314
71.0,0.318
72.0,0.307
73.0,0.316
74.0,0.317
75.0,0.29
76.0,1.431
77.0,0.31
78.0,0.28700000000000003
79.0,0.311
80.0,0.296
81.0,0.289
82.0,0.317
83.0,0.312
84.0,0.316
85.0,0.315
86.0,0.314
87.0,0.307
88.0,0.313
89.0,1.539
90.0,1.451
91.0,0.312
92.0,0.317
93.0,0.318
94.0,0.316
95.0,0.302
96.0,0.309
97.0,0.315
98.0,0.306
99.0,0.29
100.0,0.309
101.0,0.303
102.0,0.295
103.0,0.315
104.0,0.291
105.0,0.308
106.0,0.306
107.0,1.542
108.0,0.191
109.0,0.316
110.0,0.294
111.0,0.314
112.0,0.395
113.0,1.51
114.0,0.314
115.0,0.315
116.0,0.316
117.0,0.318
118.0,0.275
119.0,0.312
120.0,0.311
121.0,0.315
122.0,0.315
123.0,0.279
124.0,0.317
125.0,0.315
126.0,0.313
127.0,0.312
128.0,0.28600000000000003
129.0,0.314
130.0,0.31
131.0,0.313
132.0,0.31
133.0,0.305
134.0,0.315
135.0,0.316
136.0,0.303
137.0,1.553
138.0,0.313
139.0,0.302
140.0,0.291
141.0,0.289
142.0,0.20800000000000002
143.0,0.301
144.0,1.524
145.0,0.315
146.0,0.314
147.0,1.553
148.0,0.296
149.0,0.32
150.0,0.28600000000000003
151.0,0.29
152.0,0.293
153.0,0.317
154.0,0.299
155.0,0.294
156.0,0.317
157.0,1.5210000000000001
158.0,0.295
159.0,0.309
160.0,0.307
161.0,0.293
162.0,0.289
163.0,0.316
164.0,1.5170000000000001
165.0,0.306
166.0,0.311
167.0,0.309
168.0,0.308
169.0,0.301
170.0,0.312
171.0,0.314
172.0,0.316
173.0,0.32
174.0,0.293
175.0,0.289
176.0,0.313
177.0,1.586
178.0,0.189
179.0,0.326
180.0,0.3
181.0,0.212
182.0,0.294
183.0,0.31
184.0,0.291
185.0,0.315
186.0,0.315
187.0,0.313
188.0,0.312
189.0,0.311
190.0,0.294
191.0,1.581
192.0,0.311
193.0,0.308
194.0,0.307
195.0,0.315
196.0,0.315
197.0,0.292
198.0,0.311
199.0,0.28800000000000003
200.0,0.3
201.0,1.5270000000000001
202.0,0.317
203.0,0.321
204.0,0.281
205.0,0.313
206.0,0.313
207.0,0.315
208.0,0.321
209.0,0.314
210.0,0.31
211.0,0.312
212.0,0.316
213.0,0.315
214.0,0.293
215.0,0.28700000000000003
216.0,0.313
217.0,0.295
218.0,1.588
219.0,0.315
220.0,0.28600000000000003
221.0,0.293
222.0,1.581
223.0,0.31
224.0,0.312
225.0,0.302
226.0,0.3
227.0,0.318
228.0,1.555
229.0,0.319
230.0,0.316
231.0,0.309
232.0,0.294
233.0,0.317
234.0,0.311
235.0,0.313
236.0,0.292
237.0,0.309
238.0,1.5130000000000001
239.0,0.319
240.0,0.40700000000000003
241.0,0.304
242.0,0.314
243.0,0.302
244.0,0.32
245.0,0.429
246.0,0.191
247.0,0.40700000000000003
248.0,0.28300000000000003
249.0,0.29
250.0,0.311
251.0,0.293
252.0,1.499
253.0,0.318
254.0,0.32
255.0,1.442
256.0,0.318
257.0,0.316
258.0,0.312
259.0,0.29
260.0,0.291
261.0,0.316
262.0,0.362
263.0,0.319
264.0,0.311
265.0,0.28800000000000003
266.0,0.316
267.0,0.316
268.0,0.294
269.0,0.318
270.0,0.318
271.0,0.314
272.0,1.492
273.0,0.215
274.0,0.308
275.0,0.312
276.0,0.29
277.0,0.313
278.0,0.311
279.0,0.291
280.0,0.314
281.0,0.319
282.0,0.303
283.0,0.3
284.0,0.295
285.0,0.28400000000000003
286.0,0.312
287.0,0.312
288.0,0.293
289.0,0.314
290.0,0.315
291.0,0.312
292.0,0.308
293.0,0.313
294.0,0.305
295.0,0.311
296.0,0.292
297.0,0.335
298.0,0.293
299.0,1.526
300.0,0.307
301.0,0.312
302.0,0.224
303.0,0.303
304.0,0.31
305.0,0.212
306.0,0.313
307.0,0.316
308.0,0.315
309.0,0.317
310.0,0.31
311.0,0.307
312.0,0.294
313.0,0.293
314.0,0.191
315.0,0.291
316.0,0.28700000000000003
317.0,0.313
318.0,0.314
319.0,0.307
320.0,0.221
321.0,0.302
322.0,0.313
323.0,1.553
324.0,0.28700000000000003
325.0,0.29
326.0,0.314
327.0,0.31
328.0,0.289
329.0,0.302
330.0,0.315
331.0,0.312
332.0,0.34600000000000003
333.0,1.427
334.0,0.216
335.0,0.31
336.0,0.311
337.0,0.315
338.0,0.289
339.0,0.28700000000000003
340.0,0.316
341.0,0.291
342.0,0.317
343.0,1.582
344.0,0.313
345.0,0.312
346.0,0.309
347.0,0.299
348.0,0.314
349.0,0.291
350.0,1.435
351.0,0.317
352.0,0.307
353.0,0.306
354.0,0.311
355.0,0.289
356.0,0.292
357.0,0.31
358.0,0.315
359.0,0.28500000000000003
360.0,1.5290000000000001
361.0,0.31
362.0,0.311
363.0,0.323
364.0,0.317
365.0,0.309
366.0,1.476
367.0,0.311
368.0,0.292
369.0,0.318
370.0,0.312
371.0,0.314
372.0,0.308
373.0,0.28500000000000003
374.0,0.316
375.0,0.316
376.0,0.309
377.0,0.381
378.0,0.317
379.0,0.511
380.0,0.20400000000000001
381.0,0.318
382.0,0.278
383.0,0.28600000000000003
384.0,0.316
385.0,0.31
386.0,0.306
387.0,1.526
388.0,0.312
389.0,0.313
390.0,0.318
391.0,0.309
392.0,0.363
393.0,0.313
394.0,0.311
395.0,1.554
396.0,0.302
397.0,0.294
398.0,0.294
399.0,0.275
400.0,1.481
401.0,0.278
402.0,0.278
403.0,0.278
404.0,0.28300000000000003
405.0,0.435
406.0,0.281
407.0,0.28
408.0,0.292
409.0,0.307
410.0,0.28800000000000003
411.0,0.292
412.0,0.278
413.0,0.279
414.0,0.279
415.0,0.296
416.0,0.281
417.0,0.31
418.0,0.297
419.0,0.297
420.0,0.289
421.0,0.28
422.0,0.28400000000000003
423.0,0.301
424.0,0.28500000000000003
425.0,0.301
426.0,0.303
427.0,0.294
428.0,0.3
429.0,0.304
430.0,0.281
431.0,1.401
432.0,0.277
433.0,0.28
434.0,0.268
435.0,0.28700000000000003
436.0,0.28
437.0,0.277
438.0,0.28
439.0,0.28
440.0,0.28400000000000003
441.0,0.28300000000000003
442.0,0.276
443.0,0.278
444.0,0.261
445.0,0.279
446.0,0.281
447.0,0.301
448.0,0.316
449.0,0.299
450.0,0.301
451.0,1.549
452.0,0.32
453.0,0.28
454.0,0.28
455.0,0.279
456.0,0.3
457.0,0.304
458.0,0.305
459.0,0.281
460.0,0.302
461.0,1.595
462.0,0.314
463.0,0.501
464.0,0.318
465.0,0.302
466.0,0.295
467.0,0.279
468.0,0.303
469.0,0.28500000000000003
470.0,0.176
471.0,0.28800000000000003
472.0,0.281
473.0,0.28300000000000003
474.0,0.277
475.0,0.297
476.0,0.198
477.0,0.272
478.0,0.28700000000000003
479.0,0.306
480.0,0.29
481.0,0.293
482.0,0.307
483.0,0.305
484.0,0.203
485.0,0.3
486.0,0.305
487.0,0.304
488.0,0.276
489.0,0.28200000000000003
490.0,0.27
491.0,0.281
492.0,0.303
493.0,0.295
494.0,0.316
495.0,0.269
496.0,0.28300000000000003
497.0,0.299
498.0,0.28300000000000003
499.0,1.484
500.0,0.18
501.0,0.28400000000000003
502.0,0.28400000000000003
503.0,0.272
504.0,0.273
505.0,0.315
506.0,0.276
507.0,0.277
508.0,0.27
509.0,0.281
510.0,0.281
511.0,0.278
512.0,0.289
513.0,0.305
514.0,0.305
515.0,1.563
516.0,0.301
517.0,0.304
518.0,0.28600000000000003
519.0,0.278
520.0,0.297
521.0,0.3
522.0,0.317
523.0,0.307
524.0,0.299
525.0,0.289
526.0,0.304
