frame_nr,latency [ms]
0.0,0.1998
1.0,0.2942
2.0,0.2834
3.0,0.3052
4.0,0.3058
5.0,0.3168
6.0,0.2918
7.0,0.3274
8.0,0.3094
9.0,0.3028
10.0,0.3096
11.0,0.301
12.0,1.5272000000000001
13.0,0.28959999999999997
14.0,0.2994
15.0,0.2886
16.0,1.5224
17.0,0.2974
18.0,0.1994
19.0,0.29979999999999996
20.0,0.30379999999999996
21.0,0.2908
22.0,0.3094
23.0,0.309
24.0,0.305
25.0,0.30419999999999997
26.0,1.5388
27.0,0.2846
28.0,0.23679999999999998
29.0,0.1966
30.0,0.3024
31.0,0.304
32.0,0.2932
33.0,0.2996
34.0,0.3026
35.0,0.30060000000000003
36.0,0.30179999999999996
37.0,0.3012
38.0,0.3082
39.0,0.2912
40.0,0.2934
41.0,0.2984
42.0,0.2998
43.0,0.3106
44.0,0.30419999999999997
45.0,0.30219999999999997
46.0,0.3082
47.0,0.3026
48.0,0.2972
49.0,0.3082
50.0,0.3154
51.0,0.3048
52.0,0.2996
53.0,0.3016
54.0,0.3524
55.0,0.3054
56.0,1.5378
57.0,0.30419999999999997
58.0,0.3004
59.0,0.3004
60.0,0.30920000000000003
61.0,0.3136
62.0,0.315
63.0,0.312
64.0,0.2992
65.0,0.2968
66.0,0.3048
67.0,0.3154
68.0,0.3118
69.0,0.30779999999999996
70.0,0.3106
71.0,0.3014
72.0,0.3142
73.0,0.30720000000000003
74.0,0.3008
75.0,0.3082
76.0,1.4512
77.0,0.2864
78.0,0.2974
79.0,0.3464
80.0,0.2996
81.0,0.29979999999999996
82.0,0.2998
83.0,0.30179999999999996
84.0,0.306
85.0,0.309
86.0,0.3052
87.0,0.3024
88.0,0.33740000000000003
89.0,1.5354
90.0,1.4418
91.0,0.2956
92.0,0.298
93.0,0.324
94.0,0.29660000000000003
95.0,0.3008
96.0,0.29979999999999996
97.0,0.3234
98.0,0.30920000000000003
99.0,0.2822
100.0,0.3034
101.0,0.3044
102.0,0.2976
103.0,0.2888
104.0,0.2992
105.0,0.2926
106.0,0.2924
107.0,1.5184000000000002
108.0,0.2072
109.0,0.3022
110.0,0.29779999999999995
111.0,0.333
112.0,0.2994
113.0,1.5228000000000002
114.0,0.302
115.0,0.2954
116.0,0.2924
117.0,0.297
118.0,0.1896
119.0,0.29000000000000004
120.0,0.292
121.0,0.304
122.0,0.3008
123.0,0.2886
124.0,0.3
125.0,0.3066
126.0,0.3136
127.0,0.3056
128.0,0.3054
129.0,0.2974
130.0,0.3144
131.0,0.29660000000000003
132.0,0.2888
133.0,0.281
134.0,0.3034
135.0,0.2976
136.0,0.2922
137.0,1.5486
138.0,0.29080000000000006
139.0,0.2958
140.0,0.2986
141.0,0.2956
142.0,0.2052
143.0,0.2908
144.0,1.541
145.0,0.2974
146.0,0.301
147.0,1.5202000000000002
148.0,0.2938
149.0,0.2872
150.0,0.2928
151.0,0.2968
152.0,0.30920000000000003
153.0,0.3008
154.0,0.2988
155.0,0.29700000000000004
156.0,0.2992
157.0,1.5214
158.0,0.2996
159.0,0.2944
160.0,0.2938
161.0,0.35300000000000004
162.0,0.29900000000000004
163.0,0.29779999999999995
164.0,1.5402
165.0,0.308
166.0,0.3028
167.0,0.29640000000000005
168.0,0.30419999999999997
169.0,0.2938
170.0,0.3
171.0,0.28640000000000004
172.0,0.2942
173.0,0.2918
174.0,0.29100000000000004
175.0,0.2876
176.0,0.2958
177.0,1.549
178.0,0.21459999999999999
179.0,0.29460000000000003
180.0,0.2874
181.0,0.199
182.0,0.2918
183.0,0.29
184.0,0.30019999999999997
185.0,0.2932
186.0,0.2864
187.0,0.2866
188.0,0.29080000000000006
189.0,0.2922
190.0,0.28840000000000005
191.0,1.5428000000000002
192.0,0.29100000000000004
193.0,0.28500000000000003
194.0,0.2956
195.0,0.29480000000000006
196.0,0.33720000000000006
197.0,0.2952
198.0,0.2926
199.0,0.2928
200.0,0.29660000000000003
201.0,1.5104000000000002
202.0,0.3
203.0,0.3062
204.0,0.2932
205.0,0.3014
206.0,0.3252
207.0,0.3052
208.0,0.3022
209.0,0.2986
210.0,0.2922
211.0,0.3068
212.0,0.2998
213.0,0.2898
214.0,0.28680000000000005
215.0,0.2858
216.0,0.31500000000000006
217.0,0.2888
218.0,1.5388000000000002
219.0,0.30700000000000005
220.0,0.3
221.0,0.2882
222.0,1.5342
223.0,0.29900000000000004
224.0,0.2892
225.0,0.2858
226.0,0.28900000000000003
227.0,0.3034
228.0,1.52
229.0,0.3044
230.0,0.298
231.0,0.2976
232.0,0.29359999999999997
233.0,0.29860000000000003
234.0,0.31
235.0,0.3004
236.0,0.30179999999999996
237.0,0.294
238.0,1.5328000000000002
239.0,0.3048
240.0,0.2902
241.0,0.2958
242.0,0.3016
243.0,0.2918
244.0,0.325
245.0,0.2866
246.0,0.19319999999999998
247.0,0.30300000000000005
248.0,0.28700000000000003
249.0,0.2912
250.0,0.2968
251.0,0.30579999999999996
252.0,1.5132
253.0,0.2952
254.0,0.32880000000000004
255.0,1.4385999999999999
256.0,0.2978
257.0,0.292
258.0,0.2862
259.0,0.2934
260.0,0.29080000000000006
261.0,0.297
262.0,0.3454
263.0,0.2976
264.0,0.2836
265.0,0.2824
266.0,0.2838
267.0,0.2898
268.0,0.2904
269.0,0.2934
270.0,0.29700000000000004
271.0,0.2918
272.0,1.4411999999999998
273.0,0.20400000000000001
274.0,0.29660000000000003
275.0,0.2878
276.0,0.2934
277.0,0.292
278.0,0.2874
279.0,0.2878
280.0,0.2922
281.0,0.30920000000000003
282.0,0.3108
283.0,0.2926
284.0,0.28840000000000005
285.0,0.2834
286.0,0.28680000000000005
287.0,0.27840000000000004
288.0,0.29560000000000003
289.0,0.3052
290.0,0.2946
291.0,0.2874
292.0,0.2838
293.0,0.30300000000000005
294.0,0.29619999999999996
295.0,0.2898
296.0,0.3082
297.0,0.30379999999999996
298.0,0.29080000000000006
299.0,1.538
300.0,0.2944
301.0,0.2922
302.0,0.19460000000000002
303.0,0.27759999999999996
304.0,0.29660000000000003
305.0,0.2012
306.0,0.2944
307.0,0.31179999999999997
308.0,0.2934
309.0,0.31520000000000004
310.0,0.2892
311.0,0.2956
312.0,0.3022
313.0,0.305
314.0,0.2012
315.0,0.31
316.0,0.29819999999999997
317.0,0.2992
318.0,0.3166
319.0,0.284
320.0,0.19140000000000001
321.0,0.3066
322.0,0.3052
323.0,1.5372
324.0,0.2912
325.0,0.2882
326.0,0.2884
327.0,0.2924
328.0,0.2912
329.0,0.28500000000000003
330.0,0.2994
331.0,0.2932
332.0,0.3026
333.0,1.4492
334.0,0.2016
335.0,0.29359999999999997
336.0,0.288
337.0,0.2934
338.0,0.2952
339.0,0.2792
340.0,0.2964
341.0,0.3842
342.0,0.29660000000000003
343.0,1.5344000000000002
344.0,0.2904
345.0,0.296
346.0,0.2888
347.0,0.294
348.0,0.2972
349.0,0.2976
350.0,1.4374
351.0,0.2944
352.0,0.29660000000000003
353.0,0.3408
354.0,0.29900000000000004
355.0,0.2938
356.0,0.2882
357.0,0.2874
358.0,0.2886
359.0,0.2874
360.0,1.5396
361.0,0.297
362.0,0.3
363.0,0.3116
364.0,0.3038
365.0,0.2974
366.0,1.4567999999999999
367.0,0.2944
368.0,0.3108
369.0,0.31579999999999997
370.0,0.2924
371.0,0.3166
372.0,0.30579999999999996
373.0,0.29219999999999996
374.0,0.2958
375.0,0.2962
376.0,0.2992
377.0,0.304
378.0,0.29159999999999997
379.0,0.2986
380.0,0.1992
381.0,0.3064
382.0,0.2922
383.0,0.28640000000000004
384.0,0.301
385.0,0.2974
386.0,0.28959999999999997
387.0,1.5173999999999999
388.0,0.2914
