frame,# FALSE,% FALSE
310,2507,4.53
125,1864,3.37
206,1750,3.16
230,1529,2.76
248,1974,3.57
403,2376,4.3
299,3208,5.8
67,2003,3.62
229,1890,3.42
143,2371,4.29
453,2469,4.47
477,1618,2.93
343,1738,3.14
10,2183,3.94
80,1671,3.02
74,1911,3.46
396,1568,2.84
184,2235,4.04
205,1856,3.35
270,1931,3.49
151,1454,2.63
263,2436,4.4
463,1404,2.54
332,1887,3.41
422,1325,2.39
411,1976,3.58
449,1947,3.52
97,1727,3.12
279,1673,3.03
227,1170,2.12
116,1297,2.35
311,2077,3.76
295,1591,2.88
421,2129,3.85
472,1809,3.27
335,1244,2.25
49,2008,3.63
96,1329,2.41
50,1829,3.31
304,1822,3.29
368,2523,4.56
43,1420,2.57
417,1918,3.47
153,1501,2.71
367,1622,2.93
404,2101,3.8
493,1866,3.37
220,1601,2.89
187,1662,3.01
39,1251,2.26
55,2047,3.7
364,2110,3.82
319,1917,3.47
324,2140,3.87
120,2207,3.99
315,1575,2.85
31,2317,4.19
148,1268,2.29
107,2617,4.73
87,2276,4.12
88,1147,2.07
173,1834,3.31
191,1919,3.47
259,2548,4.6
486,1888,3.41
255,1164,2.11
84,1740,3.15
244,1809,3.27
129,1950,3.53
61,1652,2.99
42,1370,2.48
442,2283,4.13
109,1323,2.39
130,1972,3.57
190,1871,3.38
517,1680,3.04
350,2240,4.05
178,1978,3.58
371,1937,3.5
446,2304,4.17
342,2225,4.02
56,1763,3.19
234,1467,2.65
510,2581,4.67
222,1804,3.26
418,1370,2.48
170,2348,4.24
397,2093,3.79
128,1853,3.35
359,2204,3.99
438,2343,4.24
489,1905,3.45
37,2286,4.13
272,1472,2.66
318,1930,3.49
175,1515,2.74
64,1314,2.38
198,2518,4.55
497,1338,2.42
228,1815,3.28
18,1213,2.2
394,1486,2.68
59,2055,3.72
429,1530,2.77
455,1588,2.87
317,1363,2.47
126,1221,2.21
369,2409,4.35
246,1608,2.91
275,1812,3.28
420,1954,3.53
363,1065,1.93
431,2133,3.86
108,1866,3.38
410,1803,3.26
0,457,2.47
199,2001,3.62
241,1468,2.65
68,1843,3.33
98,1118,2.02
