sample,frame_nr,latency [ms]
1.0,0.0,47.704
1.0,1.0,0.314
1.0,2.0,46.479
1.0,3.0,47.78
1.0,4.0,47.722
1.0,5.0,46.497
1.0,6.0,47.725
1.0,7.0,0.317
1.0,8.0,0.31
1.0,9.0,47.783
1.0,10.0,47.723
1.0,11.0,47.67
1.0,12.0,47.724000000000004
1.0,13.0,47.681000000000004
1.0,14.0,47.69
1.0,15.0,46.495
1.0,16.0,47.753
1.0,17.0,47.716
1.0,18.0,47.722
1.0,19.0,47.747
1.0,20.0,47.733000000000004
1.0,21.0,47.712
1.0,22.0,46.45
1.0,23.0,47.754
1.0,24.0,47.711
1.0,25.0,47.731
1.0,26.0,47.665
1.0,27.0,47.707
1.0,28.0,46.478
1.0,29.0,47.731
1.0,30.0,47.714
1.0,31.0,47.694
1.0,32.0,46.475
1.0,33.0,47.724000000000004
1.0,34.0,47.7
1.0,35.0,46.474000000000004
1.0,36.0,47.684
1.0,37.0,47.734
1.0,38.0,47.736000000000004
1.0,39.0,46.469
1.0,40.0,47.675000000000004
1.0,41.0,47.663000000000004
1.0,42.0,46.465
1.0,43.0,47.747
1.0,44.0,47.731
1.0,45.0,46.533
1.0,46.0,47.693
1.0,47.0,47.733000000000004
1.0,48.0,47.747
1.0,49.0,46.476
1.0,50.0,47.748
1.0,51.0,47.741
1.0,52.0,46.498
1.0,53.0,47.697
1.0,54.0,47.654
1.0,55.0,46.474000000000004
1.0,56.0,47.746
1.0,57.0,47.739000000000004
1.0,58.0,47.727000000000004
1.0,59.0,46.473
1.0,60.0,47.731
1.0,61.0,47.743
1.0,62.0,46.42
1.0,63.0,0.329
1.0,64.0,0.306
1.0,65.0,46.46
1.0,66.0,47.677
1.0,67.0,47.673
1.0,68.0,47.694
1.0,69.0,46.445
1.0,70.0,47.727000000000004
1.0,71.0,47.714
1.0,72.0,46.516
1.0,73.0,47.724000000000004
1.0,74.0,47.721000000000004
1.0,75.0,47.723
1.0,76.0,47.708
1.0,77.0,47.677
1.0,78.0,47.706
1.0,79.0,46.462
1.0,80.0,47.702
