throughput,frame_nr,pkt_nr,n_elements
8,0,56,128
8,0,95,9
8,1,171,128
8,1,210,128
8,2,324,128
8,2,363,128
8,2,401,4
8,3,478,128
8,3,516,128
8,3,555,5
8,4,631,128
8,4,670,128
8,4,709,6
8,5,785,128
8,5,824,128
8,5,862,6
8,6,938,128
8,6,977,128
8,6,1016,5
8,7,1092,128
8,7,1131,128
8,8,1245,128
8,8,1284,128
8,9,1398,128
8,9,1474,127
8,10,1550,128
8,10,1589,128
8,10,1628,7
8,11,1704,128
8,11,1743,128
8,11,1782,8
8,12,1858,128
8,12,1897,128
8,12,1935,9
8,13,2011,128
8,13,2050,128
8,13,2089,7
8,14,2165,128
8,14,2204,128
8,14,2243,6
8,15,2319,128
8,15,2358,128
8,15,2396,10
8,16,2473,128
8,16,2512,128
8,16,2550,12
8,17,2626,128
8,17,2665,128
8,17,2704,5
8,18,2780,128
8,18,2819,128
8,18,2858,8
8,19,2934,128
8,19,2972,128
8,19,3011,6
8,20,3087,128
8,20,3126,128
8,20,3165,8
8,21,3241,128
8,21,3280,128
8,21,3319,10
8,22,3395,128
8,22,3434,128
8,22,3472,7
8,23,3549,128
8,23,3587,128
8,23,3626,8
8,24,3702,128
8,24,3741,128
8,24,3780,12
8,25,3856,128
8,25,3895,128
8,25,3934,7
8,26,4010,128
8,26,4049,128
8,26,4087,3
8,27,4163,128
8,27,4202,128
8,27,4241,11
8,28,4317,128
8,28,4356,128
8,28,4394,12
8,29,4471,128
8,29,4509,128
8,29,4548,11
8,30,4624,128
8,30,4663,128
8,30,4702,3
8,31,4778,128
8,31,4817,128
8,31,4856,9
8,32,4932,128
8,32,4971,128
8,32,5009,11
8,33,5086,128
8,33,5124,128
8,33,5163,9
8,34,5239,128
8,34,5278,128
8,34,5317,7
8,35,5393,128
8,35,5432,128
8,35,5470,10
8,36,5547,128
8,36,5585,128
8,36,5624,11
8,37,5700,128
8,37,5739,128
8,37,5778,12
8,38,5854,128
8,38,5893,128
8,38,5932,7
8,39,6008,128
8,39,6047,128
8,39,6085,4
8,40,6162,128
8,40,6200,128
8,40,6239,8
8,41,6315,128
8,41,6354,128
8,41,6393,11
8,42,6469,128
8,42,6508,128
8,42,6546,8
8,43,6623,128
8,43,6661,128
8,43,6700,6
8,44,6776,128
8,44,6815,128
8,44,6854,9
8,45,6930,128
8,45,6969,128
8,45,7007,7
8,46,7084,128
8,46,7123,128
8,46,7161,11
8,47,7237,128
8,47,7276,128
8,47,7315,9
8,48,7391,128
8,48,7430,128
8,48,7469,10
8,49,7545,128
8,49,7584,128
8,49,7622,10
8,50,7699,128
8,50,7737,128
8,50,7776,9
8,51,7852,128
8,51,7891,128
8,51,7930,8
8,52,8006,128
8,52,8045,128
8,52,8083,9
8,53,8160,128
8,53,8198,128
8,53,8237,9
8,54,8313,128
8,54,8352,128
8,54,8391,12
8,55,8467,128
8,55,8506,128
8,55,8544,12
8,56,8621,128
8,56,8660,128
8,56,8698,11
8,57,8774,128
8,57,8813,128
8,57,8852,6
8,58,8928,128
8,58,8967,128
8,58,9006,8
8,59,9082,128
8,59,9121,128
8,59,9159,5
8,60,9236,128
8,60,9274,128
8,60,9313,5
8,61,9389,128
8,61,9428,128
8,61,9467,6
8,62,9543,128
8,62,9582,128
8,62,9620,5
8,63,9697,128
8,63,9735,128
8,64,9849,128
8,64,9888,128
8,65,10002,128
8,65,10041,128
8,65,10079,7
8,66,10156,128
8,66,10194,128
8,66,10233,9
8,67,10309,128
8,67,10348,128
8,67,10387,6
8,68,10463,128
8,68,10502,128
8,68,10541,5
8,69,10617,128
8,69,10656,128
8,69,10694,9
8,70,10771,128
8,70,10809,128
8,70,10848,6
8,71,10924,128
8,71,10963,128
8,71,11002,8
8,72,11078,128
8,72,11117,128
8,72,11155,10
8,73,11232,128
8,73,11270,128
8,73,11309,3
8,74,11385,128
8,74,11424,128
8,74,11463,12
8,75,11539,128
8,75,11578,128
8,75,11617,6
8,76,11693,128
8,76,11732,128
8,76,11770,11
8,77,11846,128
8,77,11885,128
8,77,11924,3
8,78,12000,128
8,78,12039,128
8,78,12078,3
8,79,12154,128
8,79,12193,128
8,79,12231,8
8,80,12308,128
8,80,12346,128
8,80,12385,4
8,81,12461,128
8,81,12500,128
8,81,12539,5
8,82,12615,128
8,82,12654,128
8,82,12693,9
8,83,12769,128
8,83,12808,128
8,83,12846,6
8,84,12923,128
8,84,12999,126
8,85,13075,128
8,85,13114,128
8,86,13228,128
8,86,13266,128
8,86,13305,7
8,87,13381,128
8,87,13420,128
8,87,13459,8
8,88,13535,128
8,88,13574,128
8,88,13612,8
8,89,13689,128
8,89,13728,128
8,89,13766,8
8,90,13843,128
8,90,13882,128
8,90,13920,11
8,91,13997,128
8,91,14035,128
8,91,14074,4
8,92,14150,128
8,92,14189,128
8,92,14228,3
8,93,14304,128
8,93,14343,128
8,94,14457,128
8,94,14495,128
8,94,14534,5
8,95,14610,128
8,95,14649,128
8,95,14688,7
8,96,14764,128
8,96,14803,128
8,96,14841,7
8,97,14918,128
8,97,14956,128
8,97,14995,7
8,98,15071,128
8,98,15110,128
8,98,15149,4
8,99,15225,128
8,99,15264,128
8,100,15378,128
8,100,15416,128
8,100,15455,5
8,101,15531,128
8,101,15570,128
8,101,15609,5
8,102,15685,128
8,102,15724,128
8,102,15763,3
8,103,15839,128
