frame_nr,latency [ms]
0.0,0.213
1.0,0.312
2.0,0.308
3.0,0.293
4.0,0.313
5.0,0.3
6.0,0.311
7.0,0.311
8.0,0.302
9.0,0.294
10.0,0.306
11.0,0.316
12.0,1.565
13.0,0.294
14.0,0.312
15.0,0.31
16.0,1.518
17.0,0.309
18.0,0.217
19.0,0.319
20.0,0.295
21.0,0.318
22.0,0.314
23.0,0.304
24.0,0.319
25.0,0.307
26.0,1.543
27.0,0.315
28.0,0.216
29.0,0.195
30.0,0.318
31.0,0.317
32.0,0.28400000000000003
33.0,0.309
34.0,0.29
35.0,0.312
36.0,0.319
37.0,0.32
38.0,0.312
39.0,0.313
40.0,0.28800000000000003
41.0,0.361
42.0,0.313
43.0,0.314
44.0,0.322
45.0,0.323
46.0,0.296
47.0,0.28400000000000003
48.0,0.28800000000000003
49.0,0.28500000000000003
50.0,0.321
51.0,0.312
52.0,0.313
53.0,0.314
54.0,0.28800000000000003
55.0,0.317
56.0,1.516
57.0,0.32
58.0,0.311
59.0,0.28600000000000003
60.0,0.313
61.0,0.316
62.0,0.293
63.0,0.315
64.0,0.315
65.0,0.31
66.0,0.314
67.0,0.323
68.0,0.312
69.0,0.316
70.0,0.315
71.0,0.32
72.0,0.295
73.0,0.318
74.0,0.319
75.0,0.308
76.0,1.439
77.0,0.28500000000000003
78.0,0.311
79.0,0.302
80.0,0.313
81.0,0.318
82.0,0.319
83.0,0.312
84.0,0.292
85.0,0.316
86.0,0.314
87.0,0.304
88.0,0.529
89.0,1.566
90.0,1.3880000000000001
91.0,0.28400000000000003
92.0,0.292
93.0,0.311
94.0,0.305
95.0,0.314
96.0,0.3
97.0,0.316
98.0,0.28200000000000003
99.0,0.281
100.0,0.278
101.0,0.307
102.0,0.32
103.0,0.295
104.0,0.28600000000000003
105.0,0.453
106.0,0.28300000000000003
107.0,1.539
108.0,0.202
109.0,0.279
110.0,0.281
111.0,0.294
112.0,0.307
113.0,1.593
114.0,0.301
115.0,0.292
116.0,0.28500000000000003
117.0,0.312
118.0,0.2
119.0,0.296
120.0,0.301
121.0,0.277
122.0,0.28700000000000003
123.0,0.28
124.0,0.292
125.0,0.28500000000000003
126.0,0.28600000000000003
127.0,0.281
128.0,0.275
129.0,0.28700000000000003
130.0,0.276
131.0,0.272
132.0,0.299
133.0,0.28200000000000003
134.0,0.28400000000000003
135.0,0.306
136.0,0.308
137.0,1.57
138.0,0.279
139.0,0.28
140.0,0.28200000000000003
141.0,0.28600000000000003
142.0,0.177
143.0,0.277
144.0,1.487
145.0,0.292
146.0,0.28500000000000003
147.0,1.541
148.0,0.28700000000000003
149.0,0.275
150.0,0.275
151.0,0.28
152.0,0.29
153.0,0.28200000000000003
154.0,0.277
155.0,0.278
156.0,0.307
157.0,1.497
158.0,0.306
159.0,0.299
160.0,0.28800000000000003
161.0,0.28
162.0,0.302
163.0,0.292
164.0,1.698
165.0,0.275
166.0,0.301
167.0,0.28300000000000003
168.0,0.268
169.0,0.276
170.0,0.277
171.0,0.29
172.0,0.281
173.0,0.317
174.0,0.298
175.0,0.274
176.0,0.279
177.0,1.548
178.0,0.176
179.0,0.28200000000000003
180.0,0.295
181.0,0.2
182.0,0.297
183.0,0.281
184.0,0.28600000000000003
185.0,0.291
186.0,0.307
187.0,0.3
188.0,0.3
189.0,0.303
190.0,0.301
191.0,1.571
192.0,0.303
193.0,0.398
194.0,0.306
195.0,0.302
196.0,0.304
197.0,0.304
198.0,0.301
199.0,0.297
200.0,0.3
201.0,1.5310000000000001
202.0,0.302
203.0,0.28800000000000003
204.0,0.27
205.0,0.277
206.0,0.275
207.0,0.273
208.0,0.28
209.0,0.28
210.0,0.275
211.0,0.277
212.0,0.28400000000000003
213.0,0.28
214.0,0.275
215.0,0.28
216.0,0.281
217.0,0.28
218.0,1.542
219.0,0.302
220.0,0.28400000000000003
221.0,0.28700000000000003
222.0,1.498
223.0,0.309
224.0,0.275
225.0,0.292
226.0,0.302
227.0,0.308
228.0,1.56
229.0,0.308
230.0,0.302
231.0,0.269
232.0,0.278
233.0,0.279
234.0,0.277
235.0,0.28700000000000003
236.0,0.303
237.0,0.273
238.0,1.488
239.0,0.28600000000000003
240.0,0.273
241.0,0.278
242.0,0.28400000000000003
243.0,0.28300000000000003
244.0,0.28300000000000003
245.0,0.273
246.0,0.17400000000000002
247.0,0.308
248.0,0.291
249.0,0.278
250.0,0.278
251.0,0.28200000000000003
252.0,1.486
253.0,0.299
254.0,0.28700000000000003
255.0,1.466
256.0,0.28
257.0,0.28800000000000003
258.0,0.277
259.0,0.292
260.0,0.306
261.0,0.276
262.0,0.279
263.0,0.278
264.0,0.274
265.0,0.291
266.0,0.28700000000000003
267.0,0.28200000000000003
268.0,0.28400000000000003
269.0,0.291
270.0,0.318
271.0,0.28800000000000003
272.0,1.424
273.0,0.186
274.0,0.299
275.0,0.271
276.0,0.294
277.0,0.28300000000000003
278.0,0.301
279.0,0.303
280.0,0.28600000000000003
281.0,0.28400000000000003
282.0,0.292
283.0,0.301
284.0,0.296
285.0,0.275
286.0,0.305
287.0,0.293
288.0,0.28400000000000003
289.0,0.278
290.0,0.281
291.0,0.304
292.0,0.296
293.0,0.304
294.0,0.304
295.0,0.295
296.0,0.298
297.0,0.28400000000000003
298.0,0.304
299.0,1.556
300.0,0.3
301.0,0.3
302.0,0.2
303.0,0.292
304.0,0.28600000000000003
305.0,0.19
306.0,0.302
307.0,0.305
308.0,0.298
309.0,0.302
310.0,0.298
311.0,0.281
312.0,0.28300000000000003
313.0,0.305
314.0,0.193
315.0,0.28600000000000003
316.0,0.269
317.0,0.27
318.0,0.273
319.0,0.274
320.0,0.178
321.0,0.3
322.0,0.29
323.0,1.571
324.0,0.279
325.0,0.298
326.0,0.28200000000000003
327.0,0.28200000000000003
328.0,0.31
329.0,0.314
330.0,0.289
331.0,0.281
332.0,0.28400000000000003
333.0,1.4060000000000001
334.0,0.179
335.0,0.272
336.0,0.275
337.0,0.28700000000000003
338.0,0.299
339.0,0.276
340.0,0.28600000000000003
341.0,0.289
342.0,0.293
343.0,1.5110000000000001
344.0,0.28500000000000003
345.0,0.274
346.0,0.28300000000000003
347.0,0.328
348.0,0.28600000000000003
349.0,0.281
350.0,1.48
351.0,0.279
352.0,0.265
353.0,0.28800000000000003
354.0,0.28600000000000003
355.0,0.278
356.0,0.28600000000000003
357.0,0.299
358.0,0.305
359.0,0.314
360.0,1.5270000000000001
361.0,0.305
362.0,0.314
363.0,0.315
364.0,0.32
365.0,0.299
366.0,1.461
367.0,0.28700000000000003
368.0,0.306
369.0,0.293
370.0,0.315
371.0,0.318
372.0,0.317
373.0,0.309
374.0,0.3
375.0,0.292
376.0,0.28300000000000003
377.0,0.317
378.0,0.296
379.0,0.305
380.0,0.18
381.0,0.28600000000000003
382.0,0.299
383.0,0.3
384.0,0.295
385.0,0.275
386.0,0.3
387.0,1.5190000000000001
388.0,0.28
389.0,0.275
390.0,0.305
391.0,0.276
392.0,0.28500000000000003
393.0,0.313
394.0,0.271
395.0,1.555
396.0,0.295
397.0,0.273
398.0,0.281
399.0,0.3
400.0,1.5170000000000001
401.0,0.28600000000000003
402.0,0.278
403.0,0.276
404.0,0.304
405.0,0.277
406.0,0.304
407.0,0.28
408.0,0.306
409.0,0.28400000000000003
410.0,0.28
411.0,0.28
412.0,0.269
413.0,0.274
414.0,0.299
415.0,0.28200000000000003
416.0,0.291
417.0,0.276
418.0,0.29
419.0,0.28
420.0,0.45
421.0,0.29
422.0,0.299
423.0,0.303
424.0,0.29
425.0,0.299
426.0,0.299
427.0,0.31
428.0,0.277
429.0,0.281
430.0,0.274
431.0,1.46
432.0,0.278
433.0,0.28
434.0,0.273
435.0,0.299
436.0,0.28200000000000003
437.0,0.28200000000000003
438.0,0.28
439.0,0.28200000000000003
440.0,0.301
441.0,0.291
442.0,0.276
443.0,0.28300000000000003
444.0,0.275
445.0,0.314
446.0,0.28600000000000003
447.0,0.3
448.0,0.28600000000000003
449.0,0.269
450.0,0.316
451.0,1.5210000000000001
452.0,0.316
453.0,0.312
454.0,0.314
455.0,0.317
456.0,0.31
457.0,0.302
458.0,0.318
459.0,0.305
460.0,0.315
461.0,1.576
462.0,0.314
463.0,0.291
464.0,0.3
465.0,0.317
466.0,0.314
467.0,0.306
468.0,0.322
469.0,0.316
470.0,0.216
471.0,0.28800000000000003
472.0,0.321
473.0,0.306
474.0,0.312
475.0,0.318
476.0,0.20600000000000002
477.0,0.28600000000000003
478.0,0.308
479.0,0.303
480.0,0.313
481.0,0.316
482.0,0.313
483.0,0.316
484.0,0.216
485.0,0.291
486.0,0.315
487.0,0.291
488.0,0.326
489.0,0.314
490.0,0.312
491.0,0.295
492.0,0.314
493.0,0.322
494.0,0.305
495.0,0.292
496.0,0.277
497.0,0.281
498.0,0.28800000000000003
499.0,1.56
500.0,0.183
501.0,0.28
502.0,0.28500000000000003
503.0,0.306
504.0,0.315
505.0,0.28400000000000003
506.0,0.315
507.0,0.28600000000000003
508.0,0.28500000000000003
509.0,0.3
510.0,0.281
511.0,0.269
512.0,0.304
513.0,0.303
514.0,0.301
515.0,1.524
516.0,0.303
517.0,0.302
518.0,0.28
519.0,0.3
520.0,0.279
521.0,0.291
522.0,0.28400000000000003
523.0,0.28
524.0,0.3
525.0,0.28500000000000003
526.0,0.34400000000000003
