frame_nr,n_elements
0,18515.0
1,55322.0
2,55319.0
3,55299.0
4,55288.0
5,55278.0
6,55295.0
7,55324.0
8,55327.0
9,55300.0
10,55340.0
11,55332.0
12,55308.0
13,55296.0
14,55316.0
15,55355.0
16,55337.0
17,55344.0
18,55260.0
19,55274.0
20,55314.0
21,55316.0
22,55313.0
23,55332.0
24,55353.0
25,55299.0
26,55322.0
27,55273.0
28,55263.0
29,55254.0
30,55302.0
31,55344.0
32,55325.0
33,55292.0
34,55277.0
35,55307.0
36,55330.0
37,55315.0
38,55310.0
39,55310.0
40,55313.0
41,55288.0
42,55285.0
43,55288.0
44,55311.0
45,55305.0
46,55296.0
47,55301.0
48,55318.0
49,55328.0
50,55310.0
51,55278.0
52,55296.0
53,55289.0
54,55281.0
55,55304.0
56,55308.0
57,55315.0
58,55305.0
59,55284.0
60,55316.0
61,55318.0
62,55296.0
63,55269.0
64,55277.0
65,55293.0
66,55316.0
67,55314.0
68,55313.0
69,55311.0
70,55317.0
71,55284.0
72,55299.0
73,55291.0
74,55308.0
75,55313.0
76,55288.0
77,55310.0
78,55320.0
79,55342.0
80,55339.0
81,55328.0
82,55355.0
83,55338.0
84,55320.0
85,55241.0
86,55230.0
87,55262.0
88,55292.0
89,55347.0
90,55412.0
91,55356.0
92,55313.0
93,55292.0
94,55296.0
95,55264.0
96,55251.0
97,55305.0
98,55255.0
99,55278.0
100,55335.0
101,55329.0
102,55348.0
103,55319.0
104,55286.0
105,55313.0
106,55292.0
107,55310.0
108,55276.0
109,55281.0
110,55262.0
111,55277.0
112,55313.0
113,55336.0
114,55314.0
115,55339.0
116,55290.0
117,55288.0
118,55295.0
119,55292.0
120,55287.0
121,55299.0
122,55285.0
123,55260.0
124,55292.0
125,55287.0
126,55276.0
127,55324.0
128,55324.0
129,55308.0
130,55312.0
131,55296.0
132,55227.0
133,55234.0
134,55258.0
135,55280.0
136,55302.0
137,55278.0
138,55279.0
139,55283.0
140,55296.0
141,55307.0
142,55295.0
143,55289.0
144,55309.0
145,55285.0
146,55340.0
147,55321.0
148,55317.0
149,55293.0
150,55334.0
151,55346.0
152,55336.0
153,55348.0
154,55288.0
155,55278.0
156,55296.0
157,55325.0
158,55337.0
159,55356.0
160,55352.0
161,55286.0
162,55345.0
163,55330.0
164,55327.0
165,55354.0
166,55309.0
167,55325.0
168,55320.0
169,55325.0
170,55331.0
171,55350.0
172,55333.0
173,55331.0
174,55351.0
175,55320.0
176,55310.0
177,55267.0
178,55274.0
179,55325.0
180,55361.0
181,55395.0
182,55361.0
183,55368.0
184,55332.0
185,55311.0
186,55281.0
187,55290.0
188,55307.0
189,55338.0
190,55362.0
191,55335.0
192,55337.0
193,55342.0
194,55326.0
195,55324.0
196,55335.0
197,55361.0
198,55341.0
199,55306.0
200,55293.0
201,55325.0
202,55328.0
203,55316.0
204,55363.0
205,55351.0
206,55316.0
207,55313.0
208,55314.0
209,55361.0
210,55343.0
211,55372.0
212,55304.0
213,55293.0
214,55271.0
215,55318.0
216,55303.0
217,55329.0
218,55346.0
219,55364.0
220,55357.0
221,55319.0
222,55372.0
223,55333.0
224,55309.0
225,55283.0
226,55310.0
227,55312.0
228,55318.0
229,55309.0
230,55325.0
231,55332.0
232,55348.0
233,55383.0
234,55330.0
235,55306.0
236,55246.0
237,55296.0
238,55312.0
239,55313.0
240,55303.0
241,55326.0
242,55361.0
243,55393.0
244,55323.0
245,55260.0
246,55284.0
247,55319.0
248,55363.0
249,55353.0
250,55315.0
251,55306.0
252,55325.0
253,55296.0
254,55343.0
255,55295.0
256,55332.0
257,55349.0
258,55341.0
259,55344.0
260,55313.0
261,55341.0
262,55327.0
263,55323.0
264,55311.0
265,55331.0
266,55353.0
267,55320.0
268,55294.0
269,55264.0
270,55285.0
271,55305.0
272,55262.0
273,55291.0
274,55287.0
275,55281.0
276,55266.0
277,55303.0
278,55327.0
279,55287.0
280,55311.0
281,55315.0
282,55340.0
283,55332.0
284,55299.0
285,55275.0
286,55292.0
287,55345.0
288,55318.0
289,55301.0
290,55287.0
291,55271.0
292,55247.0
293,55271.0
294,55279.0
295,55269.0
296,55309.0
297,55268.0
298,55287.0
299,55283.0
300,55296.0
301,55338.0
302,55383.0
303,55333.0
304,55299.0
305,55267.0
306,55220.0
307,55271.0
308,55254.0
309,55295.0
310,55311.0
311,55291.0
312,55305.0
313,55276.0
314,55273.0
315,55301.0
316,55308.0
317,55265.0
318,55275.0
319,55280.0
320,55255.0
321,55258.0
322,55306.0
323,55340.0
324,55314.0
325,55284.0
326,55284.0
327,55276.0
328,55271.0
329,55289.0
330,55279.0
331,55326.0
332,55300.0
333,55276.0
334,55265.0
335,55246.0
336,55288.0
337,55283.0
338,55248.0
339,55248.0
340,55245.0
341,55256.0
342,55299.0
343,55325.0
344,55312.0
345,55293.0
346,55270.0
347,55283.0
348,55316.0
349,55306.0
350,55269.0
351,55220.0
352,55261.0
353,55317.0
354,55308.0
355,55333.0
356,55280.0
357,55243.0
358,55271.0
359,55269.0
360,55304.0
361,55264.0
362,55276.0
363,55211.0
364,55291.0
365,55319.0
366,55256.0
367,55313.0
368,55319.0
369,55326.0
370,55307.0
371,55272.0
372,55283.0
373,55244.0
374,55226.0
375,55233.0
376,55286.0
377,55292.0
378,55259.0
379,55270.0
380,55247.0
381,55296.0
382,55284.0
383,55303.0
384,55293.0
385,55308.0
386,55275.0
387,55260.0
388,55210.0
389,55211.0
390,55255.0
391,55296.0
392,55339.0
393,55358.0
394,55348.0
395,55316.0
396,55128.0
397,55236.0
398,55250.0
399,55265.0
400,55278.0
401,55319.0
402,55320.0
403,55270.0
404,55325.0
405,55294.0
406,55269.0
407,55264.0
408,55245.0
409,55235.0
410,55272.0
411,55250.0
412,55270.0
413,55294.0
414,55272.0
415,55291.0
416,55303.0
417,55295.0
418,55304.0
419,55279.0
420,55317.0
421,55292.0
422,55329.0
423,55239.0
424,55285.0
425,55288.0
426,55256.0
427,55281.0
428,55255.0
429,55288.0
430,55264.0
431,55286.0
432,55289.0
433,55257.0
434,55256.0
435,55236.0
436,55284.0
437,55282.0
438,55270.0
439,55222.0
440,55307.0
441,55296.0
442,55292.0
443,55282.0
444,55243.0
445,55233.0
446,55260.0
447,55279.0
448,55316.0
449,55277.0
450,55242.0
451,55270.0
452,55247.0
453,55250.0
454,55296.0
455,55294.0
456,55221.0
457,55192.0
458,55226.0
459,55270.0
460,55273.0
461,55288.0
462,55269.0
463,55264.0
464,55280.0
465,55207.0
466,55210.0
467,55213.0
468,55277.0
469,55279.0
470,55269.0
471,55287.0
472,55282.0
473,55244.0
474,55262.0
475,55276.0
476,55270.0
477,55300.0
478,55260.0
479,55241.0
480,55209.0
481,55223.0
482,55303.0
483,55358.0
484,55393.0
485,55341.0
486,55308.0
487,55311.0
488,55291.0
489,55240.0
490,55227.0
491,55270.0
492,55322.0
493,55354.0
494,55401.0
495,55340.0
496,55300.0
497,55317.0
498,55296.0
499,55305.0
500,55249.0
501,55293.0
502,55286.0
503,55292.0
504,55296.0
505,55313.0
506,55307.0
507,55308.0
508,55321.0
509,55310.0
510,55302.0
511,55281.0
512,55287.0
513,55325.0
514,55281.0
515,55296.0
516,55255.0
517,55252.0
518,55246.0
519,55308.0
520,55308.0
521,55286.0
522,55317.0
523,55314.0
524,55325.0
525,55321.0
526,53760.0
