frame_nr,latency [ms]
0.0,0.2076
1.0,0.30060000000000003
2.0,0.31020000000000003
3.0,0.2988
4.0,0.3052
5.0,0.3
6.0,0.30419999999999997
7.0,0.3134
8.0,0.30619999999999997
9.0,0.3044
10.0,0.3082
11.0,0.32039999999999996
12.0,1.5508000000000002
13.0,0.2942
14.0,0.3048
15.0,0.3116
16.0,1.5342
17.0,0.3246
18.0,0.2132
19.0,0.3068
20.0,0.3034
21.0,0.3066
22.0,0.2978
23.0,0.2928
24.0,0.3108
25.0,0.30920000000000003
26.0,1.5504
27.0,0.301
28.0,0.1974
29.0,0.24059999999999998
30.0,0.3136
31.0,0.30979999999999996
32.0,0.2942
33.0,0.3022
34.0,0.298
35.0,0.2992
36.0,0.2994
37.0,0.309
38.0,0.301
39.0,0.29900000000000004
40.0,0.2934
41.0,0.3078
42.0,0.3094
43.0,0.304
44.0,0.30500000000000005
45.0,0.3104
46.0,0.3014
47.0,0.28500000000000003
48.0,0.3538
49.0,0.294
50.0,0.3206
51.0,0.3104
52.0,0.3016
53.0,0.2984
54.0,0.29460000000000003
55.0,0.30260000000000004
56.0,1.5164
57.0,0.3032
58.0,0.2954
59.0,0.2942
60.0,0.2962
61.0,0.2998
62.0,0.2914
63.0,0.2948
64.0,0.29700000000000004
65.0,0.2954
66.0,0.2962
67.0,0.3014
68.0,0.2908
69.0,0.2982
70.0,0.30579999999999996
71.0,0.3082
72.0,0.3028
73.0,0.307
74.0,0.3076
75.0,0.3054
76.0,1.4445999999999999
77.0,0.2832
78.0,0.29779999999999995
79.0,0.314
80.0,0.2918
81.0,0.30460000000000004
82.0,0.2986
83.0,0.29100000000000004
84.0,0.3008
85.0,0.3052
86.0,0.2998
87.0,0.3056
88.0,0.3438
89.0,1.5514
90.0,1.4316
91.0,0.3406
92.0,0.2964
93.0,0.3036
94.0,0.2922
95.0,0.29640000000000005
96.0,0.30300000000000005
97.0,0.29860000000000003
98.0,0.2904
99.0,0.2906
100.0,0.2914
101.0,0.30179999999999996
102.0,0.3034
103.0,0.304
104.0,0.2954
105.0,0.3214
106.0,0.28600000000000003
107.0,1.5215999999999998
108.0,0.19540000000000002
109.0,0.2916
110.0,0.2906
111.0,0.2912
112.0,0.28900000000000003
113.0,1.5394
114.0,0.2972
115.0,0.2906
116.0,0.2968
117.0,0.3074
118.0,0.2008
119.0,0.3014
120.0,0.2864
121.0,0.2888
122.0,0.28700000000000003
123.0,0.302
124.0,0.2948
125.0,0.2928
126.0,0.2922
127.0,0.29379999999999995
128.0,0.2816
129.0,0.2952
130.0,0.292
131.0,0.2886
132.0,0.2872
133.0,0.28500000000000003
134.0,0.2898
135.0,0.28900000000000003
136.0,0.2962
137.0,1.5248000000000002
138.0,0.29660000000000003
139.0,0.2918
140.0,0.28
141.0,0.28840000000000005
142.0,0.18660000000000002
143.0,0.27860000000000007
144.0,1.5192
145.0,0.2914
146.0,0.2958
147.0,1.5364
148.0,0.28900000000000003
149.0,0.2838
150.0,0.2924
151.0,0.2846
152.0,0.29359999999999997
153.0,0.292
154.0,0.2892
155.0,0.27840000000000004
156.0,0.2954
