frame,GT,Palicus
13,55312,55296
14,55300,55316
40,55329,55313
41,55272,55288
46,55297,55296
47,55317,55301
48,55302,55318
51,55294,55278
52,55282,55296
62,55297,55296
80,55355,55339
81,55312,55328
83,55354,55338
84,55304,55320
85,55257,55241
86,55214,55230
120,55303,55287
121,55283,55299
123,55276,55260
124,55276,55292
131,55297,55296
150,55350,55334
151,55330,55346
199,55322,55306
200,55277,55293
210,55359,55343
211,55356,55372
225,55299,55283
226,55294,55310
237,55297,55296
280,55327,55311
281,55299,55315
284,55315,55299
285,55259,55275
300,55313,55296
301,55322,55338
304,55315,55299
306,55204,55220
319,55296,55280
320,55239,55255
337,55299,55283
338,55232,55248
378,55275,55259
379,55254,55270
391,55312,55296
392,55323,55339
421,55308,55292
422,55313,55329
439,55238,55222
440,55291,55307
441,55298,55296
445,55249,55233
446,55244,55260
448,55332,55316
449,55261,55277
452,55263,55247
453,55234,55250
454,55297,55296
457,55208,55192
458,55210,55226
498,55312,55296
499,55289,55305
514,55297,55281
515,55281,55296
518,55262,55246
519,55292,55308
526,53797,53760
